"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata"
523212,"F",550,1011,551638,444900,0.000997030661412013,0.00227242076871207,1.13151246466869,0.0776232203013194,0.979373748514086,1.28365118082329,0.304277432309209,2.19088303448428,1.97160937822926,2.43454333489831,0.462933956669053,2.19088303448428,14.5769843131522,3.93519878531854e-48,TRUE,"Random-Effects",6
523212,"M",301,389,368358,168523,0.000817139847648212,0.00230829026305015,1.47033216407869,0.114534214361679,1.24584922893221,1.69481509922517,0.448965870292961,2.77085682096656,2.37158114013011,3.23735392914944,0.865772789019331,2.77085682096656,12.8374929035235,1.01095611587254e-37,TRUE,"Random-Effects",6
528323,"F",812,1326,1650246,1355188,0.000492047852259603,0.000978462028884553,0.948777224130091,0.0661885125833091,0.819050123276529,1.07850432498365,0.259454201707124,1.93023596651289,1.76424402412064,2.11184554714704,0.3476015230264,1.93023596651289,14.334469639817,1.33260678218797e-46,TRUE,"Random-Effects",5
528323,"M",546,601,1195361,540398,0.000456765780379316,0.00111214327218087,1.27394661113163,0.0860875020549359,1.10521820758493,1.44267501467832,0.337456807093385,2.41822186046183,2.15131414251308,2.71824409594793,0.566929953434852,2.41822186046183,14.7982759485653,1.50285487384837e-49,TRUE,"Random-Effects",5
528986,"F",8,5,29173,22812,0.000274226168032084,0.000219182886200245,-0.323231089793271,0.822363868980595,-1.93503465518225,1.28857247559571,3.22360713077796,0.79927779238997,0.261514952984896,2.44286218480471,2.18134723181981,1.25112946902958,-0.393051180852522,0.694281680234212,FALSE,"Pass-Through",1
528988,"F",8,5,29173,22812,0.000274226168032084,0.000219182886200245,-0.323231089793271,0.822363868980595,-1.93503465518225,1.28857247559571,3.22360713077796,0.79927779238997,0.261514952984896,2.44286218480471,2.18134723181981,1.25112946902958,-0.393051180852522,0.694281680234212,FALSE,"Pass-Through",1
528990,"F",8,5,29173,22812,0.000274226168032084,0.000219182886200245,-0.323231089793271,0.822363868980595,-1.93503465518225,1.28857247559571,3.22360713077796,0.79927779238997,0.261514952984896,2.44286218480471,2.18134723181981,1.25112946902958,-0.393051180852522,0.694281680234212,FALSE,"Pass-Through",1
529042,"F",8,5,29173,22812,0.000274226168032084,0.000219182886200245,-0.323231089793271,0.822363868980595,-1.93503465518225,1.28857247559571,3.22360713077796,0.79927779238997,0.261514952984896,2.44286218480471,2.18134723181981,1.25112946902958,-0.393051180852522,0.694281680234212,FALSE,"Pass-Through",1
529044,"F",8,5,29173,22812,0.000274226168032084,0.000219182886200245,-0.323231089793271,0.822363868980595,-1.93503465518225,1.28857247559571,3.22360713077796,0.79927779238997,0.261514952984896,2.44286218480471,2.18134723181981,1.25112946902958,-0.393051180852522,0.694281680234212,FALSE,"Pass-Through",1
529046,"F",8,5,29173,22812,0.000274226168032084,0.000219182886200245,-0.323231089793271,0.822363868980595,-1.93503465518225,1.28857247559571,3.22360713077796,0.79927779238997,0.261514952984896,2.44286218480471,2.18134723181981,1.25112946902958,-0.393051180852522,0.694281680234212,FALSE,"Pass-Through",1
