"concept_id","sex","age_group","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata"
523212,"F","20-29",27,57,48630,35395,0.000555212831585441,0.00161039694872157,1.39663085601547,0.490093439165826,0.436065366191076,2.35719634583986,1.92113097964878,2.63286008508645,1.35290952781557,5.12373672083888,3.7708271930233,2.63286008508645,2.8497236330946,0.00437572321675291,TRUE,"Random-Effects",2
523212,"F","30-39",191,364,131987,108957,0.00144711221559699,0.00334076745872225,1.19437708000939,0.128782446432653,0.941968123160429,1.44678603685835,0.504817913697917,2.28846000749003,1.92114727903284,2.72600089698368,0.804853617950841,2.28846000749003,9.2743779380988,1.78658483717012e-20,TRUE,"Random-Effects",4
523212,"F","40-49",139,281,120542,109626,0.00115312505184915,0.00256326054038276,1.15194952731465,0.149530030234533,0.858876053447785,1.44502300118152,0.586146947733739,2.22213971439339,1.81362483685369,2.72267164076264,0.909046803908956,2.22213971439339,7.70380053764358,1.32077956555144e-14,TRUE,"Random-Effects",4
523212,"F","50-59",116,192,116325,101701,0.000997206103589082,0.00188788704142535,0.922202983185401,0.169680280318705,0.589635744874077,1.25477022149672,0.665134476622646,1.89500674462881,1.50486674705303,2.38629139039785,0.881424643344818,1.89500674462881,5.43494495325712,5.48133514841416e-08,TRUE,"Random-Effects",4
523212,"F","60-69",58,93,87485,63086,0.000662970794993427,0.00147417810607742,1.18263331269488,0.242683278795881,0.706982826604857,1.6582837987849,0.951300972180041,2.26990719257816,1.63238666076069,3.1564082130621,1.52402155230142,2.26990719257816,4.87315532641035,1.09829802938922e-06,TRUE,"Random-Effects",3
523212,"F","70-79",19,24,46669,26135,0.000407122501017806,0.000918308781327721,1.24859478183393,0.444124153548431,0.378127436214672,2.11906212745319,1.74093469123852,2.37609872767773,1.29965385847866,4.34411449390115,3.04446063542249,2.37609872767773,2.81136428149201,0.00493318979919671,TRUE,"Random-Effects",2
523212,"M","20-29",14,15,26426,10413,0.000529781276016045,0.00144050705848459,1.44310796896434,0.535862390031358,0.392836983833321,2.49337895409535,2.10054197026203,2.71905996625098,1.31297275874036,5.63095239474867,4.31797963600831,2.71905996625098,2.6930570157758,0.00708001603615438,TRUE,"Pass-Through",1
523212,"M","30-39",114,158,106506,50784,0.00107036223311363,0.0031112161310649,1.52578352459738,0.177507843528778,1.1778745443076,1.87369250488715,0.69581796057955,2.87943054803156,2.26243217771062,3.66469340500948,1.40226122729887,2.87943054803156,8.59558368951746,8.28426228287066e-18,TRUE,"Random-Effects",3
523212,"M","40-49",85,107,94976,45488,0.000894962938005391,0.00235226873021456,1.39138687257111,0.210034892539749,0.979726047696458,1.80304769744576,0.823321649749298,2.62330739926579,1.97209089453566,3.48956619094526,1.5174752964096,2.62330739926579,6.6245510721881,3.48305080350482e-11,TRUE,"Random-Effects",3
523212,"M","50-59",55,76,81582,38091,0.000674168321443456,0.00199522196844399,1.56666638382408,0.309430879113846,0.960193005056371,2.17313976259178,1.21294675753541,2.96219452383026,1.94557015756252,4.51003854212234,2.56446838455982,2.96219452383026,5.06305766351027,4.12584990834064e-07,TRUE,"Random-Effects",3
