"concept_id","sex","age_group","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata"
506795,"F","20-29",7,5,21420,11168,0.000326797385620915,0.000447707736389685,0.454160806257725,0.844587877985373,-1.20120101637271,2.10952262888816,3.31072364526088,1.36998567335244,0.434913073983767,4.31548476572351,3.88057169173975,1.36998567335244,0.537730670893657,0.590763001444615,FALSE,"Pass-Through",1
506795,"F","30-39",57,61,161391,133539,0.000353179545327806,0.000456795393106134,0.387405928102489,0.26767661758404,-0.137230601865729,0.912042458070707,1.04927305993644,1.30803933707147,0.909262902662978,1.88170759228758,0.972444689624606,1.30803933707147,1.4472908825548,0.147815471618706,FALSE,"Random-Effects",5
506795,"F","40-49",94,125,240300,218416,0.000391177694548481,0.000572302395428906,0.547253351665228,0.198221870128572,0.158745625265051,0.935761078065406,0.777015452800355,1.46130097506775,1.11631611674241,1.91289949836557,0.796583381623161,1.46130097506775,2.76081217128193,0.00576578257506052,TRUE,"Random-Effects",8
506795,"F","50-59",133,162,323027,274809,0.000411730288799388,0.000589500343875201,0.481634606352128,0.170624781535313,0.147216179672899,0.816053033031357,0.668836853358458,1.39632483828541,1.10743051423643,1.76058274442355,0.65315223018712,1.39632483828541,2.82277053789192,0.00476106339048476,TRUE,"Random-Effects",11
506795,"F","60-69",51,56,145952,104859,0.000349429949572462,0.000534050486844238,0.570137395758098,0.283145527654077,0.0151823591725166,1.12509243234368,1.10991007317116,1.48466495667973,1.01057917738666,2.18115520576321,1.17057602837655,1.48466495667973,2.01358432351664,0.0440531936712013,TRUE,"Random-Effects",5
506795,"F","70-79",9,5,24393,15018,0.000368958307711229,0.000332933812758024,-0.14822240292892,0.804557703464709,-1.72512652520401,1.42868171934617,3.15380824455017,0.90236161051183,0.302471994169702,2.69200617518547,2.38953418101577,1.10820317304145,-0.184228430466357,0.853834256896547,FALSE,"Pass-Through",1
604177,"F","20-29",67,56,208375,161922,0.000321535692861428,0.000345845530564099,0.11121916855652,0.263789277053968,-0.405798313977115,0.628236651090155,1.03403496506727,1.08014063808707,0.75481849907532,1.54567462174867,0.790856122673351,1.08014063808707,0.421621264513211,0.673301482544153,FALSE,"Random-Effects",7
604177,"F","30-39",221,175,417777,354413,0.000528990346524581,0.000493774212571209,-0.109354493342565,0.148020677259782,-0.399469689738965,0.180760703053834,0.580230392792799,0.927002738987143,0.758136910329876,1.13348138889024,0.375344478560367,1.07874546421795,-0.738778496132968,0.46004151159488,FALSE,"Random-Effects",13
604177,"F","40-49",285,268,387796,352668,0.000734922485017896,0.000759921512584073,0.0482718227996075,0.123453775921586,-0.193693131762178,0.290236777361393,0.483929909123572,1.03402554196405,0.874364582222855,1.22284095578969,0.348476373566833,1.03402554196405,0.391011311231731,0.6957888749911,FALSE,"Random-Effects",13
604177,"F","50-59",504,373,384882,319771,0.00130949225996539,0.00116645974775699,-0.146048642896947,0.09893186281424,-0.339951530936314,0.0478542451424212,0.387805776078736,0.903722255717082,0.790067854691087,1.03372629405066,0.243658439359569,1.106534661146,-1.47625485604345,0.139875488224178,FALSE,"Random-Effects",13
604177,"F","60-69",773,478,371433,245621,0.0020811290326923,0.00194608767165674,-0.0706930352466247,0.0841999346090372,-0.235721874580965,0.0943358040877159,0.330057678668681,0.952180484056671,0.849259952571375,1.06757379936881,0.218313846797434,1.05022106285943,-0.839585393680783,0.401140891630141,FALSE,"Random-Effects",13
604177,"F","70-79",832,320,294776,135324,0.00282248215594214,0.00236469510212527,-0.220589529920711,0.0958723828528441,-0.408495947424321,-0.0326831124171012,0.37581283500722,0.858214671654403,0.753408415145934,0.977600472514245,0.224192057368311,1.16520962997786,-2.30086624903542,0.0213991923681673,TRUE,"Random-Effects",13
604177,"F","80+",445,91,185268,45438,0.00240192585875596,0.00200272899335358,-0.2047172970478,0.167368432339905,-0.532753396582943,0.123318802487342,0.656072199070285,0.867708702139393,0.691234247539272,1.08923768526914,0.398003437729863,1.15246049455818,-1.22315357911726,0.221271694957009,FALSE,"Random-Effects",10
604177,"M","10-19",5,7,22066,4764,0.000226592948427445,0.00146935348446683,2.6970066385556,0.844441236617523,1.04193222772479,4.35208104938641,3.31014882166162,6.48455079764901,2.05898344145748,20.4224075826103,18.3634241411529,6.48455079764901,3.19383578348054,0.00140395956070916,TRUE,"Pass-Through",1
604177,"M","20-29",102,47,225120,99667,0.000453091684434968,0.000471570329196223,0.0973226419605583,0.258200709735769,-0.408741449904229,0.603386733825346,1.01212818372958,1.0697863063958,0.753280219032146,1.51927889839244,0.765998679360295,1.0697863063958,0.376926314649382,0.70622836502532,FALSE,"Random-Effects",7
604177,"M","30-39",363,156,450179,214081,0.000806345920178418,0.000728696147719788,-0.11519410599351,0.139402225386803,-0.388417447116379,0.158029235129359,0.546446682245739,0.923258083516546,0.763967172745762,1.11576193217181,0.351794759426048,1.08312076314692,-0.826343379195546,0.40860933255794,FALSE,"Random-Effects",13
604177,"M","40-49",517,165,398693,189311,0.00129673708843647,0.000871581683050642,-0.548199833098289,0.129666856897649,-0.802342202606191,-0.294057463590387,0.508284739015804,0.683872919588829,0.573417483205081,0.815605006552764,0.242187523347683,1.46225997748418,-4.22775600654068,2.3603354560497e-05,TRUE,"Random-Effects",13
604177,"M","50-59",879,315,352310,154689,0.00249496182339417,0.00203634388999864,-0.260366847515985,0.0949908117376057,-0.446545417383916,-0.0741882776480531,0.372357139735863,0.834875600834166,0.733797849975996,0.949876411999585,0.216078562023589,1.19778323740788,-2.74096876059128,0.00612583314376548,TRUE,"Random-Effects",13
604177,"M","60-69",1384,337,283100,109048,0.00488873189685623,0.00309038221700536,-0.659420772756181,0.122175957789942,-0.898881249801153,-0.419960295711209,0.478920954089944,0.633132442137245,0.536302450379277,0.747445194410698,0.211142744031422,1.57944836411215,-5.3973038941911,6.76497506809352e-08,TRUE,"Random-Effects",13
604177,"M","70-79",1209,312,169559,57520,0.00713026144291957,0.00542420027816412,-0.379462948155329,0.0917909922458988,-0.559369987062486,-0.199555909248172,0.359814077814314,0.768723699375731,0.678598437328364,0.870818577638374,0.19222014031001,1.30085751331992,-4.13398895546075,3.56520614767856e-05,TRUE,"Random-Effects",13
604177,"M","80+",636,117,79063,19476,0.00804421790217928,0.00600739371534196,-0.367732167479369,0.145946149136206,-0.653781363468644,-0.0816829714900943,0.57209839197855,0.77499979426796,0.635612162658378,0.944954669532019,0.309342506873641,1.29032292317518,-2.51964282480779,0.0117473970841784,TRUE,"Random-Effects",12
604986,"F","20-29",5,6,28030,21494,0.000178380306814128,0.000279147669116963,0.646072159147966,0.873497301906518,-1.06595109318172,2.35809541147765,3.42404650465937,1.56490183306969,0.477657660331468,5.12693075087599,4.64927309054453,1.56490183306969,0.739638414151746,0.45951942622361,FALSE,"Pass-Through",1
604986,"F","30-39",40,48,226509,189085,0.000176593424543837,0.000253854086786366,0.526879217875521,0.312024263601073,-0.0846771010852133,1.13843553683626,1.22311263792147,1.44080911955292,0.942995570242891,2.20142170811275,1.25842613786986,1.44080911955292,1.68858412417934,0.0912991551810908,FALSE,"Random-Effects",7
604986,"F","40-49",50,65,209565,191192,0.000238589459117696,0.000339972383781748,0.503473697098948,0.27796585339411,-0.0413293644854471,1.04827675868334,1.08960612316879,1.41762278492988,0.971759111931,2.06805815935075,1.09629904741975,1.41762278492988,1.81127894290349,0.0700976835308887,FALSE,"Random-Effects",7
604986,"F","50-59",282,246,323027,274809,0.000872992040912989,0.000895167188847527,0.0274180967882274,0.12667263817934,-0.220855711869953,0.275691905446408,0.496547617316361,1.01918651673497,0.858056342849692,1.21057453225577,0.352518189406082,1.01918651673497,0.216448454712133,0.828638199917956,FALSE,"Random-Effects",11
604986,"F","60-69",1201,900,318640,216860,0.003769143861411,0.00415014294936826,0.121091997561556,0.0637693379446279,-0.00389360812787837,0.24607760325099,0.249971211378868,1.08755773986301,0.997304795107987,1.18597829203044,0.188673496922452,1.08755773986301,1.89890629986942,0.0575767968848856,FALSE,"Random-Effects",11
604986,"F","70-79",3033,1736,248933,121753,0.0121840013176236,0.0142583755636411,0.183021737414968,0.0433934306544207,0.0979721761666668,0.268071298663269,0.170099122496602,1.1352592072264,1.07026805702539,1.20419689173414,0.133928834708756,1.1352592072264,4.21772915058336,2.46774985765002e-05,TRUE,"Random-Effects",11
604986,"F","80+",4216,1588,203079,48619,0.0207603937383974,0.0326621279746601,0.541691750264469,0.0421678946026545,0.459044195539385,0.624339304989553,0.165295109450168,1.45567849195837,1.3746308053857,1.54150471795634,0.166873912570631,1.45567849195837,12.8460705797336,9.04913248024685e-38,TRUE,"Random-Effects",11
604986,"M","30-39",18,10,70275,33670,0.000256136606189968,0.000297000297000297,0.222965238664258,0.57224806234913,-0.898620353762868,1.34455083109138,2.24317118485425,1.16712997980743,0.536399443737451,2.5395111901571,2.00311174641965,1.16712997980743,0.389630395162835,0.696809872901709,FALSE,"Random-Effects",2
604986,"M","40-49",151,87,281599,134721,0.000536223495111843,0.000645779054490391,0.275027952789467,0.194878650756943,-0.1069271840499,0.656983089628835,0.763910273678735,1.21001753356251,0.928563717750312,1.57678186595097,0.648218148200656,1.21001753356251,1.41127800157283,0.158162658326476,FALSE,"Random-Effects",9
604986,"M","50-59",388,175,298473,133976,0.00129995007923665,0.00130620409625605,0.0142887595963537,0.132080450308322,-0.24458416606979,0.273161685262497,0.517745851332287,1.00995342247452,0.844059047685355,1.20845326919382,0.364394221508465,1.00995342247452,0.108182244707667,0.913851128959963,FALSE,"Random-Effects",11
604986,"M","60-69",916,410,244639,96247,0.00374429261074481,0.00425987303500369,0.177950678564355,0.0858880170392429,0.0096132584638767,0.346288098664834,0.336674840200957,1.13127578724356,1.00668565286248,1.27128553304053,0.264599880178053,1.13127578724356,2.07189180398761,0.038275532491156,TRUE,"Random-Effects",11
604986,"M","70-79",1522,702,144328,51426,0.0105454243112909,0.0136506825341267,0.343217747660026,0.0657595227197299,0.214331451488812,0.47210404383124,0.257772592342428,1.26858285358003,1.16016616587656,1.38713100220548,0.226964836328924,1.26858285358003,5.21928586864652,1.79614345433656e-07,TRUE,"Random-Effects",11
604986,"M","80+",1374,505,73826,18871,0.0186113293419662,0.0267606380160034,0.423779041605247,0.0746164583275988,0.277533470629219,0.570024612581274,0.292491141952055,1.34143675913678,1.21212078791547,1.48454889702699,0.272428109111514,1.34143675913678,5.67943120195643,1.35143393121758e-08,TRUE,"Random-Effects",11
606317,"F","30-39",5,6,33647,28081,0.000148601658394508,0.000213667604430042,0.523917971521982,0.873517399486071,-1.1881446713398,2.23598061438377,3.42412528572357,1.43785477725152,0.438866887671182,4.71082785815919,4.27196097048801,1.43785477725152,0.599779663038454,0.548653088598922,FALSE,"Pass-Through",1
606317,"F","40-49",25,42,120728,108690,0.000207077065800808,0.00038642009384488,0.874378050811366,0.431089426813804,0.029458300140295,1.71929780148244,1.68983950134214,1.83321761165637,1.02062883035539,3.29276100354411,2.27213217318872,1.83321761165637,2.02829853024678,0.0425297888924998,TRUE,"Random-Effects",4
606317,"F","50-59",33,45,115401,104564,0.000285959393766085,0.000430358440763552,0.569458014116775,0.351407649061015,-0.119288321934705,1.25820435016826,1.37749267210296,1.48396597551574,0.920641689004182,2.39197838072091,1.47133669171672,1.48396597551574,1.62050546036321,0.105123742328257,FALSE,"Random-Effects",4
606317,"F","60-69",8,6,29329,22348,0.000272767567936172,0.000268480400930732,-0.022855342802178,0.779039056842372,-1.54974383676328,1.50403315115892,3.0537769879222,0.984282709862181,0.341570707698159,2.8363452459447,2.49477453824654,1.0159682680396,-0.0293378651576419,0.976595127861165,FALSE,"Pass-Through",1
606317,"M","50-59",11,12,55148,26545,0.000199463262493653,0.000452062535317386,1.18061404613356,0.602741300739349,-0.000737195310388739,2.36196528757751,2.3627024828879,2.26673234177555,0.999489145679607,5.14070165890357,4.14121251322396,2.26673234177555,1.95874091369775,0.0501431363787618,FALSE,"Random-Effects",2
