"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata"
506795,"Both",351,414,916483,757809,0.000382985827342133,0.000546311801522547,0.486650442258418,0.105894984623117,0.279100086253687,0.69420079826315,0.415100712009463,1.40118790717561,1.21343773897068,1.61798787705464,0.404550138083961,1.40118790717561,4.5955948149048,4.31516515142505e-06,TRUE,"Pass-Through",1
604177,"Both",8222,3217,4230397,2463713,0.00194355281549226,0.00130575273986865,-0.110346457394358,0.0436437746478115,-0.195886683853451,-0.0248062309352655,0.171080452918186,0.926365572221154,0.873036160863098,0.982952610517578,0.10991644965448,1.07948743993399,-2.52834357900552,0.0114602140574897,TRUE,"Random-Effects",2
604986,"Both",13196,6478,2670923,1532723,0.00494061416222033,0.00422646492549534,0.273678867617902,0.0496461662535804,0.176374169790397,0.370983565445408,0.194609395655011,1.20888655739975,1.13004025785931,1.2932341998419,0.163193941982583,1.20888655739975,5.51258814668625,3.53594998749202e-08,TRUE,"Random-Effects",2
606317,"Both",82,111,354253,290228,0.000231472986820154,0.000382457929627741,0.68865565353213,0.228277987079107,0.24123902039378,1.13607228667048,0.8948332662767,1.61178091271675,1.18200736133345,2.19781855475701,1.01581119342356,1.61178091271675,3.01674139650392,0.00255507686646625,TRUE,"Random-Effects",2
618912,"Both",231,184,800680,531149,0.000288504770944697,0.000346418801503909,0.358348453126518,0.144026408148136,0.0760618803335045,0.640635025919532,0.564573145586027,1.28195751707536,1.05413663653807,1.55901523447968,0.504878597941606,1.28195751707536,2.48807463668707,0.0128436775549001,TRUE,"Random-Effects",2
761970,"Both",4155,4422,4124796,2490210,0.00100732254395126,0.00177575385208476,0.869774424352847,0.181308506392874,0.514416281732065,1.22513256697363,0.710716285241565,1.82737715468414,1.42841608184414,2.33776930119011,0.909353219345977,1.82737715468414,4.79720693560925,1.60893360089208e-06,TRUE,"Random-Effects",2
763457,"Both",1329,578,575326,358460,0.00230999468127635,0.00161245327233164,-0.194152698313818,0.0853008180892692,-0.361339229620588,-0.0269661670070473,0.334373062613541,0.874086100138549,0.778441629846413,0.981482080559027,0.203040450712614,1.1440520560177,-2.2760942117886,0.0228403714488134,TRUE,"Random-Effects",2
764181,"Both",1006,183,184235,83681,0.00546041740168806,0.00218687635186004,-0.748564308529467,0.133826127360291,-1.01085869834611,-0.486269918712826,0.524588779633283,0.595195569072859,0.496250789175904,0.713868417282037,0.217617628106133,1.6801200344245,-5.59355877133137,2.2246187340712e-08,TRUE,"Random-Effects",2
1072956,"Both",195309,134875,4950760,2691662,0.0394503066195897,0.0501084460084513,0.414504714554015,0.0579779119165463,0.300870095298749,0.528139333809282,0.227269238510533,1.33284102660312,1.23188714554208,1.44206813799875,0.210180992456671,1.33284102660312,7.1493556917099,8.71861491059034e-13,TRUE,"Random-Effects",2
1072986,"Both",13700,7635,1914041,1040131,0.00715763141959864,0.00734042154305563,0.494211309820203,0.0605123443108203,0.375609294350908,0.612813325289498,0.23720403093859,1.40855052051699,1.29738736542844,1.5292383922619,0.231851026833464,1.40855052051699,8.16711557697546,3.15850270358703e-16,TRUE,"Random-Effects",2
1073191,"Both",22,16,96051,82234,0.000229044986517579,0.000194566724225989,-0.238116720576168,0.47618970087882,-1.17143138410756,0.695197942955221,1.86662932706278,0.847851366834881,0.443980622236598,1.61910656510747,1.17512594287087,1.17945201142165,-0.500045927361968,0.617042738959895,FALSE,"Pass-Through",1
1073322,"Both",1045,284,1033587,525528,0.00101104212804534,0.000540408884017598,-0.623311868568532,0.111874964738155,-0.842582770227004,-0.40404096691006,0.438541803316944,0.649178952649979,0.557644357709313,0.755738503828649,0.198094146119336,1.54040730359164,-5.5715044918888,2.52548852434107e-08,TRUE,"Random-Effects",2
1073730,"Both",175917,91429,4927153,2691397,0.0357035797345851,0.0339708337343023,0.186343808963452,0.0666744266397123,0.0556643340597575,0.317023283867146,0.261358949807388,1.1378763631233,1.03933758862609,1.24575752087082,0.206419932244726,1.1378763631233,2.79483181715825,0.00519267214395989,TRUE,"Random-Effects",2
