"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata"
22340,"Both",122,54,259694,157089,0.000469783668471355,0.00034375417756813,-0.288938572136883,0.238400285845749,-0.756194546298606,0.178317402024839,0.934511948323445,0.818504031563805,0.592055962259769,1.13156338655746,0.539507424297696,1.22174108060217,-1.21198920174044,0.225516514149433,FALSE,"Random-Effects",2
22350,"Both",96,78,411190,311944,0.000233468712760524,0.00025004487985023,0.12025793946996,0.222472673896133,-0.315780488910786,0.556296367850705,0.87207685676149,1.08692917724015,0.803416230043092,1.47048938291001,0.667073152866922,1.08692917724015,0.540551508479216,0.588816748977304,FALSE,"Pass-Through",1
22492,"Both",726,651,2198538,1553899,0.00033021944583173,0.0004189461477226,0.565341349953451,0.359222885466525,-0.138722567983494,1.2694052678904,1.40812783587389,1.47973758226458,0.908323072562844,2.41062170334195,1.5022986307791,1.47973758226458,1.57378990266513,0.1155360291952,FALSE,"Random-Effects",2
23220,"Both",47003,38439,4890232,2671590,0.00961160942875512,0.0143880610423007,0.596562738985347,0.139142074817941,0.323849283608006,0.869276194362688,0.545426910754682,1.5121096282039,1.25166569200831,1.82674618494838,0.575080492940075,1.5121096282039,4.28743598775507,1.80747319388603e-05,TRUE,"Random-Effects",2
23325,"Both",8690,6743,4700881,2658952,0.00184858965798113,0.00253596153672575,0.519417916433417,0.107582609074725,0.308559877284105,0.730275955582729,0.421716078298624,1.43337680738928,1.23847082007761,1.65895638286635,0.420485562788745,1.43337680738928,4.82808439859123,1.37852671900815e-06,TRUE,"Random-Effects",2
23653,"Both",5,5,29006,19812,0.000172378128663035,0.000252372299616394,0.54997683191052,0.912343564633974,-1.23818369629896,2.33813736012,3.57632105641896,1.46406218453463,0.42390600353416,5.05649380361176,4.6325878000776,1.46406218453463,0.602817681002843,0.546629983168447,FALSE,"Pass-Through",1
23731,"Both",551,442,1774844,1093691,0.00031044981981515,0.000404136085969437,0.543815997589911,0.253424066585243,0.0471139542671536,1.04051804091267,0.993404086645515,1.45782343506227,1.03319599359474,2.05696613323335,1.02377013963861,1.45782343506227,2.14587353489172,0.0318830697850367,TRUE,"Random-Effects",2
23798,"Both",4113,3412,4248577,2529141,0.000968088844806155,0.00134907464629295,0.473061063915646,0.111195777995941,0.255121343810691,0.691000784020602,0.435879440209911,1.38805146882872,1.19343611767239,1.61440302634317,0.420966908670774,1.38805146882872,4.25430778435594,2.09696701885969e-05,TRUE,"Random-Effects",2
23986,"Both",50,56,270618,209932,0.000184762284844319,0.000266753043842768,0.55618517010477,0.281065150561633,0.00530759769464118,1.1070627425149,1.10175514482026,1.47037604724395,1.00368572200732,2.1540664302615,1.15038070825417,1.47037604724395,1.97884785429066,0.0478331387663175,TRUE,"Random-Effects",2
24134,"Both",70476,56581,4880251,2689765,0.014441060511027,0.021035666684636,0.492853444278782,0.0845127557346538,0.32721148680463,0.658495401752935,0.331283914948305,1.40722541551376,1.25458610267825,1.57843560186139,0.323849499183139,1.40722541551376,5.83170481182987,5.48639147107218e-09,TRUE,"Random-Effects",2
24609,"Both",104,103,397399,308017,0.000261701715404417,0.000334397127431278,0.41042911828588,0.216303624051195,-0.0135181945799536,0.834376431151713,0.847894625731667,1.32908108001659,0.990673664119991,1.78308617785575,0.792412513735762,1.32908108001659,1.89746759947369,0.0577662511226537,FALSE,"Random-Effects",2
24660,"Both",72255,46693,4947008,2680029,0.0146057980904822,0.0174225726661913,0.353771982342538,0.0602496503414045,0.235684837592254,0.471859127092822,0.236174289500568,1.27789737582139,1.17746553951769,1.38689553819137,0.209429998673682,1.27789737582139,5.87176822334885,4.31171283598921e-09,TRUE,"Random-Effects",2
24818,"Both",89,86,398315,271899,0.000223441246249827,0.000316293917962184,0.600290986095218,0.229538537561045,0.150403719411575,1.05017825277886,0.899774533367286,1.516022311602,1.10988001407753,2.07078568865421,0.960905674576681,1.516022311602,2.6152078534332,0.00891731707726838,TRUE,"Random-Effects",2
24970,"Both",3152,2330,3612119,2211758,0.000872617984069739,0.00105346064081152,0.552562268851518,0.0839938613951363,0.387937325594602,0.717187212108434,0.329249886513832,1.46668826566616,1.30852122467257,1.64397369189109,0.335452467218516,1.46668826566616,6.57860300352276,4.74888842000037e-11,TRUE,"Random-Effects",2
24977,"Both",110,128,580149,350049,0.000189606463167221,0.000365663092881282,0.961981513256024,0.374999100632324,0.226996781781757,1.69696624473029,1.46996946294853,1.94798357539788,1.17039603067054,3.24218462006053,2.07178858938999,1.94798357539788,2.56529018772026,0.0103089547507568,TRUE,"Random-Effects",2
25297,"Both",145763,98413,5022507,2692182,0.0290219605467947,0.0365551066012625,0.329727775885326,0.0884669191271388,0.156335800572917,0.503119751197736,0.346783950624819,1.25677620931279,1.11445301984891,1.41727503283069,0.30282201298178,1.25677620931279,3.72713076411606,0.000193671989377492,TRUE,"Random-Effects",2
25572,"Both",707,656,2211764,1594878,0.000319654357336497,0.000411316727674468,0.550451742951206,0.260615917821079,0.0396539302240405,1.06124955567837,1.02159562545433,1.46454420861385,1.02786723507509,2.08673811732862,1.05887088225353,1.46454420861385,2.11211865934109,0.0346762729296815,TRUE,"Random-Effects",2
25844,"Both",938,549,1844475,1011988,0.000508545792163082,0.000542496551342506,0.289610893488943,0.295404475287899,-0.289371238947292,0.868593025925178,1.15796426487247,1.22231056619385,0.818258597552889,1.82588135914156,1.00762276158867,1.22231056619385,0.980387630237119,0.326894813356075,FALSE,"Random-Effects",2
26378,"Both",112,121,461763,409167,0.000242548666740298,0.000295722773341936,0.285272858234974,0.197645086481166,-0.102104392989416,0.672650109459365,0.774754502448781,1.2186407245177,0.931673011280179,1.59399832073316,0.662325309452981,1.2186407245177,1.44335922189575,0.148919304975606,FALSE,"Pass-Through",1
26662,"Both",2655,2590,2000664,861428,0.0013270594162738,0.00300663549362222,1.1551525111457,0.0957635549106031,0.967459392489392,1.342845629802,0.375386237312612,2.22707865444612,1.95539408320481,2.53651137419854,0.581117290993723,2.22707865444612,12.0625483486286,0,TRUE,"Pass-Through",1
26711,"Both",12267,8842,4735973,2659612,0.00259017523959702,0.00332454508401977,0.485239625789079,0.223560258552847,0.0470695706510365,0.923409680927121,0.876340110276084,1.39981835043214,1.03316420845119,1.89659242759098,0.863428219139789,1.39981835043214,2.17050932455589,0.029968283016182,TRUE,"Random-Effects",2
26719,"Both",527,515,1374560,1023211,0.000383395413805145,0.000503317497564041,0.687482184466849,0.328046387393946,0.0445230799162402,1.33044128901746,1.28591820910122,1.61047044447066,1.03134218616239,2.51479585273665,1.48345366657426,1.61047044447066,2.09568588737806,0.0361100645844538,TRUE,"Random-Effects",2
26935,"Both",148,125,508807,229323,0.000290876501305996,0.000545082699947236,0.934521187577052,0.177361017141056,0.586899981719191,1.28214239343491,0.695242411715721,1.91125620790572,1.50201579249763,2.43199859182831,0.929982799330679,1.91125620790572,5.26903376311731,1.37143740142065e-07,TRUE,"Pass-Through",1
27674,"Both",21180,15513,4916603,2685857,0.00430785239320726,0.00577581010455881,0.420907223311042,0.112429093635563,0.200550248970858,0.641264197651226,0.440713948680369,1.33876916077633,1.14913655615664,1.55969528272621,0.410558726569572,1.33876916077633,3.74375715128868,0.000181288880426247,TRUE,"Random-Effects",2
28060,"Both",1580,1504,2917206,1886775,0.000541614133523652,0.000797127373428204,0.686405877069009,0.25261129725637,0.191296832358581,1.18151492177944,0.990218089420856,1.60926941806722,1.14178960447371,2.26814822081001,1.12635861633631,1.60926941806722,2.71724140814014,0.00658285736371811,TRUE,"Random-Effects",2
28179,"Both",30,31,148609,124804,0.000201872026593275,0.000248389474696324,0.300040319633758,0.371994885996477,-0.42905625935242,1.02913689861994,1.45819315797236,1.23117882116091,0.742747495575777,2.04080296292365,1.29805546734788,1.23117882116091,0.806571087207365,0.419913636949028,FALSE,"Pass-Through",1
28403,"Both",56,65,272263,177368,0.00020568347516923,0.000366469712687745,0.840938499409534,0.264344762247899,0.322832285901848,1.35904471291722,1.03621242701537,1.7912149809208,1.25078366736667,2.56515270512765,1.31436903776099,1.7912149809208,3.18121869432356,0.00146656874073381,TRUE,"Pass-Through",1
28457,"Both",1430,611,1932537,1126097,0.000739959959369471,0.00054258203334171,0.158338099664747,0.170865105709969,-0.176551353741422,0.493227553070916,0.669778906812338,1.11600082963328,0.884815550624203,1.40759037390736,0.522774823283156,1.11600082963328,0.926684819623231,0.354090201519215,FALSE,"Random-Effects",2
29056,"Both",1319,1237,3001156,2014871,0.000439497313701787,0.000613935085670497,0.696483521398485,0.152809989925018,0.396981444667521,0.995985598129449,0.599004153461928,1.62054998600796,1.31674998646979,1.99444259285029,0.677692606380496,1.62054998600796,4.55784024159834,5.16823244955544e-06,TRUE,"Random-Effects",2
