"concept_id","relationship","target_concept_id","target_concept_name"
198819,"morphology",40599742,"Lesion"
198892,"finding_site",37303860,"Organ within abdominopelvic cavity"
198892,"finding_site",4000057,"Structure of abdominopelvic viscus"
198892,"morphology",4295343,"Damage"
198892,"morphology",4078068,"Traumatic abnormality"
198911,"finding_site",4303986,"Skin and/or subcutaneous tissue structure of trunk"
198911,"morphology",4213471,"Third degree burn injury"
198964,"causative_agent",4268323,"Hepatitis C virus"
198964,"clinical_course",4236661,"Chronic"
198964,"finding_site",4009105,"Liver structure"
198964,"morphology",4224657,"Chronic inflammation"
198964,"morphology",4253009,"Chronic inflammatory morphology"
198964,"pathology",40480911,"Infectious process"
198984,"finding_site",4325271,"Cervix uteri structure"
198984,"morphology",4282379,"Malignant Neoplasm (Morphology)"
198984,"morphology",37153816,"Malignant neoplasm"
198985,"finding_site",4271678,"Kidney structure"
198985,"morphology",37153816,"Malignant neoplasm"
198985,"morphology",4312326,"Neoplasm, malignant (primary)"
198985,"pathology",37157802,"Primary malignant neoplastic proliferation"
199064,"clinical_course",4236661,"Chronic"
199064,"finding_site",4236677,"Intestinal wall structure"
199064,"finding_site",4207503,"Structure of blood vessel of intestine"
199064,"morphology",42709863,"Structural change due to ischemia"
199067,"finding_site",4203155,"Female genital structure"
199067,"morphology",4253008,"Inflammatory morphology"
199067,"pathology",40480911,"Infectious process"
199074,"clinical_course",4312510,"Sudden onset AND/OR short duration"
199074,"finding_site",4049768,"Pancreatic structure"
199074,"morphology",4163835,"Acute inflammation"
199075,"finding_site",4096246,"Structure of nervous system"
199075,"finding_site",4232481,"Urinary bladder structure"
199076,"finding_site",4151444,"Fallopian tube structure"
199076,"finding_site",4207963,"Fetal structure"
199076,"occurrence",37160321,"Fetal antenatal period"
199076,"occurrence",4113139,"First trimester"
199089,"finding_site",4325271,"Cervix uteri structure"
199089,"morphology",4148390,"Laceration"
199089,"occurrence",37160330,"Maternal intrapartum period"
199718,"causative_agent",4214820,"Rotavirus"
199718,"finding_site",4034270,"Intestinal structure"
199718,"morphology",4053015,"Inflammation"
199718,"morphology",4253008,"Inflammatory morphology"
199718,"pathology",40480911,"Infectious process"
199747,"finding_site",4146765,"Structure of small intestine"
199747,"morphology",37153816,"Malignant neoplasm"
199747,"morphology",4312326,"Neoplasm, malignant (primary)"
199754,"finding_site",4049768,"Pancreatic structure"
199754,"morphology",37153816,"Malignant neoplasm"
199754,"morphology",4312326,"Neoplasm, malignant (primary)"
199754,"pathology",37157802,"Primary malignant neoplastic proliferation"
199764,"finding_site",4049448,"Ovarian structure"
199764,"morphology",4305589,"Neoplasm, benign"
199767,"finding_site",4117423,"Liver and/or biliary structure"
199767,"morphology",4313421,"Neoplasm of uncertain behavior"
199771,"finding_site",4034504,"Structure of endocrine system"
199771,"morphology",608265,"Malignant carcinoid tumor"
199771,"morphology",1242311,"Well-differentiated neuroendocrine tumor"
199837,"finding_site",4138976,"Portal vein structure"
199837,"morphology",4245118,"Thrombus"
199860,"finding_site",4034054,"Abdomen"
199860,"finding_site",4269370,"Abdominopelvic segment of trunk"
199860,"finding_site",37303864,"Intra-abdominopelvic structure"
199860,"finding_site",4000057,"Structure of abdominopelvic viscus"
199860,"morphology",4190388,"Hernia"
199860,"morphology",4185788,"Hernial opening"
199866,"finding_site",4288283,"Stomach structure"
199866,"morphology",4163835,"Acute inflammation"
199867,"clinical_course",4267304,"Chronic persistent"
199867,"finding_site",4009105,"Liver structure"
199867,"morphology",4224657,"Chronic inflammation"
199867,"morphology",4253009,"Chronic inflammatory morphology"
199868,"finding_site",4269370,"Abdominopelvic segment of trunk"
199868,"finding_site",37303864,"Intra-abdominopelvic structure"
199868,"morphology",4263116,"Gangrene"
199868,"morphology",4190388,"Hernia"
199868,"morphology",4185788,"Hernial opening"
199876,"finding_site",4132420,"Female genital organ structure"
199876,"morphology",4105753,"Prolapse"
199881,"finding_site",4049448,"Ovarian structure"
199881,"morphology",4244991,"Endometriosis"
199891,"causative_agent",4286730,"Antibody to antigen in Rh blood group system"
199891,"occurrence",37160318,"Maternal pregnancy period"
199913,"finding_site",4305529,"Structure of ankle and/or foot"
199913,"morphology",4263843,"Deformity"
199913,"occurrence",35624340,"Period of life between birth and death"
199991,"finding_site",4324400,"Structure of transplanted kidney"
200051,"finding_site",4049448,"Ovarian structure"
200051,"morphology",37153816,"Malignant neoplasm"
200051,"morphology",4312326,"Neoplasm, malignant (primary)"
200051,"pathology",37157802,"Primary malignant neoplastic proliferation"
200054,"finding_site",4337115,"Ureteric structure"
200054,"morphology",37153816,"Malignant neoplasm"
200054,"morphology",4312326,"Neoplasm, malignant (primary)"
200054,"pathology",37157802,"Primary malignant neoplastic proliferation"
200060,"finding_site",4033377,"Structure of soft tissue of trunk"
200060,"morphology",4305589,"Neoplasm, benign"
200148,"finding_site",4277442,"Seminal vesicle structure"
200148,"morphology",4053015,"Inflammation"
200148,"morphology",4253008,"Inflammatory morphology"
200153,"finding_site",4207963,"Fetal structure"
200153,"finding_site",4049448,"Ovarian structure"
200153,"occurrence",37160321,"Fetal antenatal period"
200153,"occurrence",4113139,"First trimester"
200154,"finding_site",4151384,"Gallbladder structure"
200154,"morphology",4043006,"Fistula"
200164,"finding_site",4136378,"Diaper area"
200164,"morphology",4010894,"Cutaneous eruption"
200164,"morphology",4109438,"Eruption"
200164,"morphology",4253008,"Inflammatory morphology"
200164,"pathology",35626105,"Non-allergic contact hypersensitivity process"
200169,"finding_site",4219601,"Skin structure"
200169,"finding_site",37017466,"Structure of skin and/or mucosa of anus"
200174,"finding_site",4132865,"Skin and/or subcutaneous tissue structure"
200200,"finding_site",4090907,"Brain cerebrospinal fluid pathway"
200200,"finding_site",4246520,"Neural tube structure"
200200,"finding_site",4284815,"Structure of arch of lumbar vertebra"
200200,"morphology",4163407,"Congenital failure of fusion"
200200,"morphology",4154268,"Developmental failure of fusion"
200200,"morphology",4102695,"Dilatation"
200200,"morphology",4175951,"Morphologically abnormal structure"
200200,"occurrence",4116830,"Congenital"
200200,"pathology",4204670,"Pathological developmental process"
200219,"finding_site",4034054,"Abdomen"
200219,"finding_site",37303867,"Abdomen"
200444,"finding_site",4146820,"Biliary tract structure"
200445,"clinical_course",4236661,"Chronic"
200445,"finding_site",4165732,"Prostate"
200445,"morphology",4053015,"Inflammation"
200445,"morphology",4253008,"Inflammatory morphology"
200447,"finding_site",4046957,"Gastrointestinal tract structure"
200450,"finding_site",4029306,"Urethral structure"
200451,"clinical_course",4236661,"Chronic"
200451,"finding_site",4123622,"Vascular structure of liver"
200451,"morphology",4232029,"Chronic passive congestion"
200452,"finding_site",4132420,"Female genital organ structure"
200455,"morphology",4179955,"Hemorrhage"
200455,"occurrence",37160318,"Maternal pregnancy period"
200461,"finding_site",4149192,"Uterine structure"
200461,"morphology",4244991,"Endometriosis"
