"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
1353256,"propafenone","8754","RxNorm","Ingredient",10,10
1588000,"desogestrel","22656","RxNorm","Ingredient",10,10
1724700,"foscarnet","33562","RxNorm","Ingredient",10,12
1154343,"albuterol","435","RxNorm","Ingredient",9,9
1322184,"clopidogrel","32968","RxNorm","Ingredient",9,9
1350504,"etoposide","4179","RxNorm","Ingredient",9,9
1351557,"candesartan","214354","RxNorm","Ingredient",9,9
1366610,"esketamine","2119365","RxNorm","Ingredient",9,264
1370109,"sotalol","9947","RxNorm","Ingredient",9,9
40241969,"brentuximab vedotin","1147320","RxNorm","Ingredient",9,61
904501,"travoprost","283809","RxNorm","Ingredient",8,8
942350,"torsemide","38413","RxNorm","Ingredient",8,8
956874,"furosemide","4603","RxNorm","Ingredient",8,8
19015802,"lercanidipine","135056","RxNorm","Ingredient",8,8
19097684,"gestodene","25734","RxNorm","Ingredient",8,8
981709,"dorzolamide","60207","RxNorm","Ingredient",7,7
989482,"dutasteride","228790","RxNorm","Ingredient",7,7
1353776,"felodipine","4316","RxNorm","Ingredient",7,7
1548195,"estradiol","4083","RxNorm","Ingredient",7,7
1580747,"sitagliptin","593411","RxNorm","Ingredient",7,7
19095164,"cholecalciferol","2418","RxNorm","Ingredient",7,7
19136187,"streptokinase","10106","RxNorm","Ingredient",7,8
715939,"escitalopram","321988","RxNorm","Ingredient",6,6
948078,"pantoprazole","40790","RxNorm","Ingredient",6,6
961047,"ranitidine","9143","RxNorm","Ingredient",6,6
1154161,"montelukast","88249","RxNorm","Ingredient",6,6
1309944,"amiodarone","703","RxNorm","Ingredient",6,6
1331247,"pentoxifylline","8013","RxNorm","Ingredient",6,6
1344354,"epirubicin","3995","RxNorm","Ingredient",6,6
1352141,"factor VIIa","4256","RxNorm","Ingredient",6,20
1502905,"insulin glargine","274783","RxNorm","Ingredient",6,6
1519936,"etonogestrel","14584","RxNorm","Ingredient",6,6
19011021,"moxonidine","30257","RxNorm","Ingredient",6,6
19078187,"ifosfamide","5657","RxNorm","Ingredient",6,6
44785885,"von Willebrand factor","11274","RxNorm","Ingredient",6,291
920458,"betamethasone","1514","RxNorm","Ingredient",5,5
964339,"sulfasalazine","9524","RxNorm","Ingredient",5,5
1112921,"ipratropium","7213","RxNorm","Ingredient",5,5
1307863,"verapamil","11170","RxNorm","Ingredient",5,5
1315942,"docetaxel","72962","RxNorm","Ingredient",5,17
1363053,"doxazosin","49276","RxNorm","Ingredient",5,5
1383925,"isosorbide dinitrate","6058","RxNorm","Ingredient",5,5
1557272,"alendronate","46041","RxNorm","Ingredient",5,5
19011355,"etoricoxib","307296","RxNorm","Ingredient",5,5
19020061,"nitrendipine","7441","RxNorm","Ingredient",5,5
40226742,"olmesartan","321064","RxNorm","Ingredient",5,5
42873638,"carfilzomib","1302966","RxNorm","Ingredient",5,149
42898933,"defibrotide","1311089","RxNorm","Ingredient",5,15
