"concept_id","relationship","target_concept_id","target_concept_name"
4207360,"procedure_site",4267224,"Floor of mouth structure"
4207425,"method",4044190,"Injection - action"
4208261,"method",4044525,"Excision - action"
4208261,"procedure_site",4000504,"Urethra part"
4208393,"method",4043861,"Extraction - action"
4208393,"procedure_site",4244368,"Tooth structure"
4208524,"method",4044182,"Incision - action"
4208524,"method",4043866,"Inspection - action"
4208524,"method",4117981,"Repair - action"
4208524,"procedure_site",4169744,"Knee joint structure"
4208524,"procedure_site",4232612,"Structure of anterior cruciate ligament of knee joint"
4208846,"method",4044525,"Excision - action"
4208846,"procedure_site",4230029,"Bone structure of cranium"
4208914,"method",4043866,"Inspection - action"
4208914,"method",4044524,"Removal - action"
4208914,"procedure_site",4149192,"Uterine structure"
4209077,"method",4045069,"Fixation - action"
4209077,"method",4044182,"Incision - action"
4209077,"method",4043866,"Inspection - action"
4209077,"procedure_site",37303867,"Abdomen"
4209077,"procedure_site",4244412,"Anterior abdominal wall structure"
4209077,"procedure_site",4144541,"Rectum structure"
4209141,"method",4044182,"Incision - action"
4209141,"method",4113232,"Osteotomy - action"
4209141,"procedure_site",4240393,"Bone structure of mandible"
4209537,"method",4044525,"Excision - action"
4209537,"method",4043866,"Inspection - action"
4209537,"procedure_site",4215634,"Colon structure"
4209601,"method",4044182,"Incision - action"
4209601,"procedure_site",4165732,"Prostate"
4209904,"method",4045049,"Surgical action"
4210126,"method",4201409,"Examination - action"
4210151,"method",4044698,"Counseling - action"
4210595,"method",4044525,"Excision - action"
4210595,"procedure_site",4338971,"Soft tissue"
4210602,"method",4044182,"Incision - action"
4210602,"method",4044186,"Surgical removal - action"
4210602,"procedure_site",4214466,"Joint structure"
4210605,"method",4117981,"Repair - action"
4210605,"procedure_site",4197120,"Bone structure of clavicle"
4211325,"method",4044698,"Counseling - action"
4212092,"method",4116119,"Plastic operation"
4212092,"procedure_site",4298444,"Breast structure"
4212613,"method",4045049,"Surgical action"
4212941,"method",4045056,"Aspiration - action"
4212941,"method",4044188,"Curettage - action"
4212941,"method",4044210,"Surgical extraction - action"
4212941,"method",4236212,"Termination - action"
4212941,"procedure_site",4099331,"Endometrial structure"
4212941,"procedure_site",4308413,"Entire fetus"
4213005,"method",4044539,"Closure - action"
4213005,"procedure_site",4219601,"Skin structure"
4213128,"method",4045049,"Surgical action"
4213281,"method",4044182,"Incision - action"
4213281,"procedure_site",4097172,"Sphenoid sinus structure"
4213288,"method",4106470,"Insertion - action"
4213291,"method",4044518,"Evacuation - action"
4213306,"method",4045049,"Surgical action"
4213312,"method",4117981,"Repair - action"
4213409,"method",4043859,"Grafting - action"
4213409,"procedure_site",4189346,"Cartilaginous tissue structure"
4213552,"method",4045056,"Aspiration - action"
4213796,"method",4116119,"Plastic operation"
4213796,"procedure_site",4164276,"Nasal structure"
4214028,"method",4043859,"Grafting - action"
4214028,"procedure_site",4154333,"Bone structure"
4214034,"method",4043866,"Inspection - action"
4214034,"procedure_site",4302112,"Duodenal structure"
4214122,"method",4044539,"Closure - action"
4214122,"procedure_site",4325271,"Cervix uteri structure"
4214428,"method",4044182,"Incision - action"
4214428,"procedure_site",4219601,"Skin structure"
4214463,"method",4044525,"Excision - action"
4214463,"procedure_site",4105319,"Conjunctival structure"
4214730,"method",4044525,"Excision - action"
4214730,"procedure_site",4001203,"Laryngeal part"
4215577,"method",4044700,"Administration - action"
4215577,"method",4230986,"Imaging - action"
4215600,"method",4045064,"Marsupialization - action"
4215600,"procedure_site",4049448,"Ovarian structure"
4216088,"method",4117981,"Repair - action"
4216088,"procedure_site",4168155,"Lip structure"
4216130,"method",4230986,"Imaging - action"
4216130,"method",4117981,"Repair - action"
4216191,"method",4044525,"Excision - action"
4216191,"procedure_site",4296022,"Vaginal structure"
4216250,"method",4044525,"Excision - action"
4216250,"procedure_site",4009105,"Liver structure"
4216307,"method",4044525,"Excision - action"
4216307,"procedure_site",4002236,"Mandible part"
4216485,"method",4044524,"Removal - action"
4216567,"method",4044525,"Excision - action"
4216567,"procedure_site",4294042,"Salivary gland structure"
4216735,"method",4044517,"Drainage - action"
4216758,"method",4044524,"Removal - action"
4216854,"method",4044182,"Incision - action"
4216854,"procedure_site",4313445,"Skin structure of trunk"
4216997,"method",4044526,"Amputation - action"
4216997,"procedure_site",4077311,"Penile structure"
4217034,"method",4043842,"Biopsy - action"
4217034,"procedure_site",4271678,"Kidney structure"
