"concept_id","chapter_type","chapter_id","chapter_name","chapter_level","parent_chapter_id"
4181025,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4181610,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4181800,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4181955,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4184832,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4185541,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4187537,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4216130,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4218467,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4223377,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4224173,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4225211,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4225212,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4225375,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4228304,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4228305,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4229994,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4230233,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4231680,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4234811,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4234819,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4236706,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4236715,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4238384,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4243492,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4244381,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4246197,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4249161,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4262936,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4265676,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4272324,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4275564,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4275736,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4284254,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4303853,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4306749,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4311041,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4312194,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4327488,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4330920,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4336464,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4336764,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4337061,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4337206,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4338312,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4338441,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4339949,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4339978,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
37153627,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
37157813,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
37311675,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
40479651,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
40480947,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
42872710,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
42872711,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
44782479,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
45766884,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
46270879,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4195651,"by_method",4195651,"Cleaning of skin wound of head or neck",1,NA
4137588,"by_method",4165575,"Construction of window",1,NA
4148939,"by_method",4165575,"Construction of window",1,NA
763457,"by_method",4254477,"Counseling",1,NA
4062353,"by_method",4254477,"Counseling",1,NA
4064788,"by_method",4254477,"Counseling",1,NA
4083236,"by_method",4254477,"Counseling",1,NA
4196362,"by_method",4254477,"Counseling",1,NA
4210151,"by_method",4254477,"Counseling",1,NA
4211325,"by_method",4254477,"Counseling",1,NA
4243827,"by_method",4254477,"Counseling",1,NA
4254477,"by_method",4254477,"Counseling",1,NA
36713459,"by_method",4254477,"Counseling",1,NA
40482428,"by_method",4254477,"Counseling",1,NA
42537747,"by_method",4254477,"Counseling",1,NA
46272634,"by_method",4254477,"Counseling",1,NA
4013567,"by_method",4314450,"Decompression",1,NA
4100913,"by_method",4314450,"Decompression",1,NA
4158896,"by_method",4314450,"Decompression",1,NA
4166080,"by_method",4314450,"Decompression",1,NA
4199570,"by_method",4314450,"Decompression",1,NA
4201395,"by_method",4314450,"Decompression",1,NA
4201720,"by_method",4314450,"Decompression",1,NA
4304919,"by_method",4314450,"Decompression",1,NA
4308573,"by_method",4314450,"Decompression",1,NA
4311112,"by_method",4314450,"Decompression",1,NA
4332423,"by_method",4314450,"Decompression",1,NA
40488890,"by_method",4314450,"Decompression",1,NA
4015701,"by_method",4128030,"Delivery procedure",1,NA
4069969,"by_method",4128030,"Delivery procedure",1,NA
4071507,"by_method",4128030,"Delivery procedure",1,NA
4073422,"by_method",4128030,"Delivery procedure",1,NA
4073424,"by_method",4128030,"Delivery procedure",1,NA
4075168,"by_method",4128030,"Delivery procedure",1,NA
4088084,"by_method",4128030,"Delivery procedure",1,NA
4128030,"by_method",4128030,"Delivery procedure",1,NA
4128031,"by_method",4128030,"Delivery procedure",1,NA
4165077,"by_method",4128030,"Delivery procedure",1,NA
4167089,"by_method",4128030,"Delivery procedure",1,NA
4189205,"by_method",4128030,"Delivery procedure",1,NA
4202559,"by_method",4128030,"Delivery procedure",1,NA
4223536,"by_method",4128030,"Delivery procedure",1,NA
4311671,"by_method",4128030,"Delivery procedure",1,NA
37312440,"by_method",4128030,"Delivery procedure",1,NA
42535816,"by_method",4128030,"Delivery procedure",1,NA
4057262,"by_method",4279532,"Desensitization therapy",1,NA
4263351,"by_method",4279532,"Desensitization therapy",1,NA
1073191,"by_method",4275431,"Destructive procedure",1,NA
4019226,"by_method",4275431,"Destructive procedure",1,NA
4021093,"by_method",4275431,"Destructive procedure",1,NA
4021414,"by_method",4275431,"Destructive procedure",1,NA
4024115,"by_method",4275431,"Destructive procedure",1,NA
4025993,"by_method",4275431,"Destructive procedure",1,NA
4032014,"by_method",4275431,"Destructive procedure",1,NA
4036943,"by_method",4275431,"Destructive procedure",1,NA
4041195,"by_method",4275431,"Destructive procedure",1,NA
4046290,"by_method",4275431,"Destructive procedure",1,NA
4047008,"by_method",4275431,"Destructive procedure",1,NA
4048948,"by_method",4275431,"Destructive procedure",1,NA
4049252,"by_method",4275431,"Destructive procedure",1,NA
4049987,"by_method",4275431,"Destructive procedure",1,NA
4050568,"by_method",4275431,"Destructive procedure",1,NA
4051171,"by_method",4275431,"Destructive procedure",1,NA
4061603,"by_method",4275431,"Destructive procedure",1,NA
4067021,"by_method",4275431,"Destructive procedure",1,NA
4067128,"by_method",4275431,"Destructive procedure",1,NA
4067257,"by_method",4275431,"Destructive procedure",1,NA
4067329,"by_method",4275431,"Destructive procedure",1,NA
4068317,"by_method",4275431,"Destructive procedure",1,NA
4068429,"by_method",4275431,"Destructive procedure",1,NA
4068560,"by_method",4275431,"Destructive procedure",1,NA
4069110,"by_method",4275431,"Destructive procedure",1,NA
4070327,"by_method",4275431,"Destructive procedure",1,NA
4070329,"by_method",4275431,"Destructive procedure",1,NA
4070688,"by_method",4275431,"Destructive procedure",1,NA
4072855,"by_method",4275431,"Destructive procedure",1,NA
4087889,"by_method",4275431,"Destructive procedure",1,NA
4097985,"by_method",4275431,"Destructive procedure",1,NA
4102383,"by_method",4275431,"Destructive procedure",1,NA
4115487,"by_method",4275431,"Destructive procedure",1,NA
4139594,"by_method",4275431,"Destructive procedure",1,NA
4140012,"by_method",4275431,"Destructive procedure",1,NA
4142398,"by_method",4275431,"Destructive procedure",1,NA
4146072,"by_method",4275431,"Destructive procedure",1,NA
4146252,"by_method",4275431,"Destructive procedure",1,NA
4150671,"by_method",4275431,"Destructive procedure",1,NA
4176113,"by_method",4275431,"Destructive procedure",1,NA
4178013,"by_method",4275431,"Destructive procedure",1,NA
4183321,"by_method",4275431,"Destructive procedure",1,NA
4183841,"by_method",4275431,"Destructive procedure",1,NA
4199616,"by_method",4275431,"Destructive procedure",1,NA
4203609,"by_method",4275431,"Destructive procedure",1,NA
4217604,"by_method",4275431,"Destructive procedure",1,NA
4217814,"by_method",4275431,"Destructive procedure",1,NA
4223377,"by_method",4275431,"Destructive procedure",1,NA
4224173,"by_method",4275431,"Destructive procedure",1,NA
4229994,"by_method",4275431,"Destructive procedure",1,NA
4232599,"by_method",4275431,"Destructive procedure",1,NA
4241964,"by_method",4275431,"Destructive procedure",1,NA
4243492,"by_method",4275431,"Destructive procedure",1,NA
4262915,"by_method",4275431,"Destructive procedure",1,NA
4270077,"by_method",4275431,"Destructive procedure",1,NA
4284254,"by_method",4275431,"Destructive procedure",1,NA
4289590,"by_method",4275431,"Destructive procedure",1,NA
4298948,"by_method",4275431,"Destructive procedure",1,NA
4301065,"by_method",4275431,"Destructive procedure",1,NA
4301620,"by_method",4275431,"Destructive procedure",1,NA
4303291,"by_method",4275431,"Destructive procedure",1,NA
4324537,"by_method",4275431,"Destructive procedure",1,NA
4333166,"by_method",4275431,"Destructive procedure",1,NA
4334592,"by_method",4275431,"Destructive procedure",1,NA
4334652,"by_method",4275431,"Destructive procedure",1,NA
4335864,"by_method",4275431,"Destructive procedure",1,NA
37156605,"by_method",4275431,"Destructive procedure",1,NA
40488324,"by_method",4275431,"Destructive procedure",1,NA
40492254,"by_method",4275431,"Destructive procedure",1,NA
42872494,"by_method",4275431,"Destructive procedure",1,NA
44783407,"by_method",4275431,"Destructive procedure",1,NA
44791438,"by_method",4275431,"Destructive procedure",1,NA
44808212,"by_method",4275431,"Destructive procedure",1,NA
44812239,"by_method",4275431,"Destructive procedure",1,NA
4032243,"by_method",4032243,"Dialysis procedure",1,NA
4049372,"by_method",4032243,"Dialysis procedure",1,NA
4050864,"by_method",4032243,"Dialysis procedure",1,NA
4050866,"by_method",4032243,"Dialysis procedure",1,NA
4076662,"by_method",4032243,"Dialysis procedure",1,NA
4120120,"by_method",4032243,"Dialysis procedure",1,NA
4324124,"by_method",4032243,"Dialysis procedure",1,NA
1447443,"by_method",4324523,"Dilation procedure",1,NA
4015660,"by_method",4324523,"Dilation procedure",1,NA
4022627,"by_method",4324523,"Dilation procedure",1,NA
4023106,"by_method",4324523,"Dilation procedure",1,NA
4049547,"by_method",4324523,"Dilation procedure",1,NA
4050128,"by_method",4324523,"Dilation procedure",1,NA
4051945,"by_method",4324523,"Dilation procedure",1,NA
4052106,"by_method",4324523,"Dilation procedure",1,NA
4052113,"by_method",4324523,"Dilation procedure",1,NA
4066634,"by_method",4324523,"Dilation procedure",1,NA
4070947,"by_method",4324523,"Dilation procedure",1,NA
4120148,"by_method",4324523,"Dilation procedure",1,NA
4138740,"by_method",4324523,"Dilation procedure",1,NA
4147379,"by_method",4324523,"Dilation procedure",1,NA
4176809,"by_method",4324523,"Dilation procedure",1,NA
4181025,"by_method",4324523,"Dilation procedure",1,NA
4184832,"by_method",4324523,"Dilation procedure",1,NA
4198603,"by_method",4324523,"Dilation procedure",1,NA
4199705,"by_method",4324523,"Dilation procedure",1,NA
4202559,"by_method",4324523,"Dilation procedure",1,NA
4223228,"by_method",4324523,"Dilation procedure",1,NA
4230233,"by_method",4324523,"Dilation procedure",1,NA
4258614,"by_method",4324523,"Dilation procedure",1,NA
4324523,"by_method",4324523,"Dilation procedure",1,NA
4330920,"by_method",4324523,"Dilation procedure",1,NA
4337799,"by_method",4324523,"Dilation procedure",1,NA
40492244,"by_method",4324523,"Dilation procedure",1,NA
42872475,"by_method",4324523,"Dilation procedure",1,NA
46270879,"by_method",4324523,"Dilation procedure",1,NA
4078793,"by_method",4083499,"Direct current cardiac shock",1,NA
764181,"by_method",4073156,"Discussion",1,NA
4025680,"by_method",4046731,"Dissection procedure",1,NA
4048702,"by_method",4046731,"Dissection procedure",1,NA
4059099,"by_method",4046731,"Dissection procedure",1,NA
4067489,"by_method",4046731,"Dissection procedure",1,NA
4070762,"by_method",4046731,"Dissection procedure",1,NA
4074443,"by_method",4046731,"Dissection procedure",1,NA
4074571,"by_method",4046731,"Dissection procedure",1,NA
4164907,"by_method",4046731,"Dissection procedure",1,NA
4240701,"by_method",4046731,"Dissection procedure",1,NA
4279916,"by_method",4046731,"Dissection procedure",1,NA
4319321,"by_method",4046731,"Dissection procedure",1,NA
37108568,"by_method",4046731,"Dissection procedure",1,NA
37154360,"by_method",4046731,"Dissection procedure",1,NA
46270663,"by_method",4046731,"Dissection procedure",1,NA
4170107,"by_method",35622931,"Doppler ultrasound",1,NA
4168523,"by_method",40607450,"Electrolysis procedure",1,NA
4330781,"by_method",4046732,"Embolization procedure",1,NA
4167089,"by_method",4250892,"Emergency operation",1,NA
4250892,"by_method",4250892,"Emergency operation",1,NA
604177,"by_method",4297090,"Evaluation procedure",1,NA
1072956,"by_method",4297090,"Evaluation procedure",1,NA
1072986,"by_method",4297090,"Evaluation procedure",1,NA
1073730,"by_method",4297090,"Evaluation procedure",1,NA
1075179,"by_method",4297090,"Evaluation procedure",1,NA
1076419,"by_method",4297090,"Evaluation procedure",1,NA
1245449,"by_method",4297090,"Evaluation procedure",1,NA
1447443,"by_method",4297090,"Evaluation procedure",1,NA
1447834,"by_method",4297090,"Evaluation procedure",1,NA
1447837,"by_method",4297090,"Evaluation procedure",1,NA
1450216,"by_method",4297090,"Evaluation procedure",1,NA
4001543,"by_method",4297090,"Evaluation procedure",1,NA
4004241,"by_method",4297090,"Evaluation procedure",1,NA
4010253,"by_method",4297090,"Evaluation procedure",1,NA
4013510,"by_method",4297090,"Evaluation procedure",1,NA
4013570,"by_method",4297090,"Evaluation procedure",1,NA
4013574,"by_method",4297090,"Evaluation procedure",1,NA
4013636,"by_method",4297090,"Evaluation procedure",1,NA
4014477,"by_method",4297090,"Evaluation procedure",1,NA
4014990,"by_method",4297090,"Evaluation procedure",1,NA
4015555,"by_method",4297090,"Evaluation procedure",1,NA
4016212,"by_method",4297090,"Evaluation procedure",1,NA
4016391,"by_method",4297090,"Evaluation procedure",1,NA
4019824,"by_method",4297090,"Evaluation procedure",1,NA
4021322,"by_method",4297090,"Evaluation procedure",1,NA
4021414,"by_method",4297090,"Evaluation procedure",1,NA
4021434,"by_method",4297090,"Evaluation procedure",1,NA
4021506,"by_method",4297090,"Evaluation procedure",1,NA
4022011,"by_method",4297090,"Evaluation procedure",1,NA
4022627,"by_method",4297090,"Evaluation procedure",1,NA
4023102,"by_method",4297090,"Evaluation procedure",1,NA
4023106,"by_method",4297090,"Evaluation procedure",1,NA
4023136,"by_method",4297090,"Evaluation procedure",1,NA
4023293,"by_method",4297090,"Evaluation procedure",1,NA
4025680,"by_method",4297090,"Evaluation procedure",1,NA
4026128,"by_method",4297090,"Evaluation procedure",1,NA
4027510,"by_method",4297090,"Evaluation procedure",1,NA
4028914,"by_method",4297090,"Evaluation procedure",1,NA
4028987,"by_method",4297090,"Evaluation procedure",1,NA
4032014,"by_method",4297090,"Evaluation procedure",1,NA
4032404,"by_method",4297090,"Evaluation procedure",1,NA
4032613,"by_method",4297090,"Evaluation procedure",1,NA
4032631,"by_method",4297090,"Evaluation procedure",1,NA
4032735,"by_method",4297090,"Evaluation procedure",1,NA
4032774,"by_method",4297090,"Evaluation procedure",1,NA
4033396,"by_method",4297090,"Evaluation procedure",1,NA
4033557,"by_method",4297090,"Evaluation procedure",1,NA
4034524,"by_method",4297090,"Evaluation procedure",1,NA
4036697,"by_method",4297090,"Evaluation procedure",1,NA
4036803,"by_method",4297090,"Evaluation procedure",1,NA
4036943,"by_method",4297090,"Evaluation procedure",1,NA
4037672,"by_method",4297090,"Evaluation procedure",1,NA
4039104,"by_method",4297090,"Evaluation procedure",1,NA
4039376,"by_method",4297090,"Evaluation procedure",1,NA
4040446,"by_method",4297090,"Evaluation procedure",1,NA
4044347,"by_method",4297090,"Evaluation procedure",1,NA
4045963,"by_method",4297090,"Evaluation procedure",1,NA
4047337,"by_method",4297090,"Evaluation procedure",1,NA
4049547,"by_method",4297090,"Evaluation procedure",1,NA
4050128,"by_method",4297090,"Evaluation procedure",1,NA
4051171,"by_method",4297090,"Evaluation procedure",1,NA
4051945,"by_method",4297090,"Evaluation procedure",1,NA
4052106,"by_method",4297090,"Evaluation procedure",1,NA
4052113,"by_method",4297090,"Evaluation procedure",1,NA
4052532,"by_method",4297090,"Evaluation procedure",1,NA
4052820,"by_method",4297090,"Evaluation procedure",1,NA
4056681,"by_method",4297090,"Evaluation procedure",1,NA
4057900,"by_method",4297090,"Evaluation procedure",1,NA
4058035,"by_method",4297090,"Evaluation procedure",1,NA
4059072,"by_method",4297090,"Evaluation procedure",1,NA
4060397,"by_method",4297090,"Evaluation procedure",1,NA
4060609,"by_method",4297090,"Evaluation procedure",1,NA
4060629,"by_method",4297090,"Evaluation procedure",1,NA
4061132,"by_method",4297090,"Evaluation procedure",1,NA
4061134,"by_method",4297090,"Evaluation procedure",1,NA
4062769,"by_method",4297090,"Evaluation procedure",1,NA
4062771,"by_method",4297090,"Evaluation procedure",1,NA
4062855,"by_method",4297090,"Evaluation procedure",1,NA
4062856,"by_method",4297090,"Evaluation procedure",1,NA
4063398,"by_method",4297090,"Evaluation procedure",1,NA
4063519,"by_method",4297090,"Evaluation procedure",1,NA
4063911,"by_method",4297090,"Evaluation procedure",1,NA
4064518,"by_method",4297090,"Evaluation procedure",1,NA
4064522,"by_method",4297090,"Evaluation procedure",1,NA
4064523,"by_method",4297090,"Evaluation procedure",1,NA
4064754,"by_method",4297090,"Evaluation procedure",1,NA
4065058,"by_method",4297090,"Evaluation procedure",1,NA
4065062,"by_method",4297090,"Evaluation procedure",1,NA
4066178,"by_method",4297090,"Evaluation procedure",1,NA
4066401,"by_method",4297090,"Evaluation procedure",1,NA
4066625,"by_method",4297090,"Evaluation procedure",1,NA
4066634,"by_method",4297090,"Evaluation procedure",1,NA
4067329,"by_method",4297090,"Evaluation procedure",1,NA
4067489,"by_method",4297090,"Evaluation procedure",1,NA
4067680,"by_method",4297090,"Evaluation procedure",1,NA
4067706,"by_method",4297090,"Evaluation procedure",1,NA
4068181,"by_method",4297090,"Evaluation procedure",1,NA
4068675,"by_method",4297090,"Evaluation procedure",1,NA
4068676,"by_method",4297090,"Evaluation procedure",1,NA
4070947,"by_method",4297090,"Evaluation procedure",1,NA
4074443,"by_method",4297090,"Evaluation procedure",1,NA
4074562,"by_method",4297090,"Evaluation procedure",1,NA
4074571,"by_method",4297090,"Evaluation procedure",1,NA
