"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
435786,"Disorder of sleep-wake cycle","271794005","SNOMED","Disorder",1257,12359
435835,"Non-infectious disorder of lymphatics","105983000","SNOMED","Disorder",1256,2948
45757117,"Obstructed labor due to disproportion between fetus and pelvis","10751581000119104","SNOMED","Disorder",1252,1331
40492392,"Closed fracture of fibula","447395005","SNOMED","Disorder",1250,2782
4103295,"Ventricular tachycardia","25569003","SNOMED","Disorder",1246,9663
4087597,"Gammaherpesviral mononucleosis","186668002","SNOMED","Disorder",1242,2216
4100184,"Pustular psoriasis of palms and soles","27520001","SNOMED","Disorder",1242,11626
443392,"Malignant neoplastic disease","363346000","SNOMED","Disorder",1241,6827
4274575,"Idiopathic generalized epilepsy","36803009","SNOMED","Disorder",1240,43098
44782778,"Pain disorder with psychological factor","381000119107","SNOMED","Disorder",1240,14015
141056,"Acute ethmoidal sinusitis","67832005","SNOMED","Disorder",1239,2961
4130023,"Atrophy of thyroid - acquired","237558008","SNOMED","Disorder",1238,14130
4263360,"Fracture of pubis","36127009","SNOMED","Disorder",1237,4057
436445,"Abrasion of tooth","47222000","SNOMED","Disorder",1235,1679
4009506,"Periarthritis of wrist","111242007","SNOMED","Disorder",1235,2588
193688,"Clostridioides difficile infection","186431008","SNOMED","Disorder",1234,2808
321314,"Abdominal aortic aneurysm without rupture","75878002","SNOMED","Disorder",1234,9155
4095168,"Malignant neoplasm of overlapping sites of urinary bladder","188247000","SNOMED","Disorder",1233,23807
4056780,"Acute uterine inflammatory disease","198180000","SNOMED","Disorder",1230,2607
258785,"Pneumococcal pneumonia","233607000","SNOMED","Disorder",1227,2572
439002,"Eating disorder","72366004","SNOMED","Disorder",1226,6845
198809,"Acute cholecystitis","65275009","SNOMED","Disorder",1224,2499
195581,"Peritoneal adhesion","70190001","SNOMED","Disorder",1223,2433
435543,"Primary angle-closure glaucoma","392288006","SNOMED","Disorder",1222,16143
4268895,"Female pelvic peritoneal adhesions","62394006","SNOMED","Disorder",1222,1701
373404,"Ophthalmic herpes simplex","186542001","SNOMED","Disorder",1220,8083
4055341,"Calculus of bile duct with cholangitis","197402000","SNOMED","Disorder",1220,3630
4066819,"Localized skin eruption caused by drug and medicament","200893007","SNOMED","Disorder",1219,2914
197593,"Impaction of intestine","62851005","SNOMED","Disorder",1218,2367
136580,"Dehiscence of surgical wound","22247000","SNOMED","Disorder",1217,2443
443800,"Amenorrhea","14302001","SNOMED","Clinical Finding",1216,1991
256449,"Bronchiectasis","12295008","SNOMED","Disorder",1215,11079
440320,"Infection caused by Escherichia coli","71057007","SNOMED","Disorder",1213,2333
73021,"Bilateral congenital dislocation of hip","10155006","SNOMED","Disorder",1212,1653
4275722,"Swelling","65124004","SNOMED","Clinical Finding",1212,1454
4297887,"Disorder of digestive organ","76712006","SNOMED","Disorder",1210,2262
25572,"Disorder of salivary gland","10890000","SNOMED","Disorder",1208,1944
4051597,"Multiple superficial injuries of wrist and hand","211291000","SNOMED","Disorder",1206,1682
