"concept_id","n_patients","n_records"
4160418,16,16
4258010,16,17
4309590,16,21
37394520,16,21
42537746,16,20
45763838,16,73
4011971,15,21
4023293,15,16
4065062,15,15
4066910,15,17
4074151,15,15
4123868,15,19
4127079,15,15
4216567,15,15
4226983,15,15
4234819,15,15
4268043,15,15
4287467,15,15
40492380,15,17
43531553,15,15
44782856,15,15
44793142,15,15
44809616,15,15
4028623,14,14
4052846,14,14
4064533,14,18
4077078,14,14
4081380,14,14
4127086,14,14
4141456,14,15
4202994,14,14
40490399,14,14
44783078,14,14
4010247,13,13
4013570,13,13
4081837,13,13
4108845,13,14
4143592,13,13
4144797,13,13
4216485,13,13
4218755,13,17
4225211,13,13
4233625,13,19
4258614,13,23
4262301,13,15
4270363,13,13
4339614,13,13
4341536,13,13
36676312,13,13
42872876,13,23
4052252,12,12
4061543,12,138
4078309,12,12
4080974,12,13
4087552,12,12
4118895,12,12
4139594,12,12
4141922,12,12
4185284,12,13
4195852,12,12
4213281,12,22
4217238,12,13
4223228,12,19
4226249,12,12
4248822,12,12
4290106,12,12
4294805,12,12
4314406,12,14
4329458,12,12
4338746,12,14
4343801,12,12
36680592,12,12
40485989,12,13
606317,11,11
4023106,11,11
4048438,11,13
4061660,11,14
4066401,11,11
4066634,11,12
4067028,11,12
4069034,11,11
4072263,11,11
4098793,11,11
4152021,11,11
4186722,11,11
4189847,11,11
4207050,11,11
4210605,11,11
4231454,11,11
4243808,11,11
4253787,11,11
4262807,11,12
4287941,11,11
4302672,11,11
4311112,11,14
4339288,11,11
4342019,11,11
36676311,11,11
37153525,11,11
37162413,11,11
44808935,11,11
46270731,11,12
4021253,10,17
4042325,10,10
4069914,10,11
4075967,10,10
4091623,10,12
4097552,10,10
4101913,10,10
4161415,10,39
4164726,10,10
4199570,10,10
4208914,10,10
4218111,10,10
4242750,10,10
4269222,10,26
4303998,10,11
4307652,10,10
37108568,10,10
40480207,10,24
40482949,10,10
40493228,10,10
4013567,9,10
4022011,9,9
4029549,9,9
4030165,9,9
4031451,9,9
4041643,9,9
4048938,9,9
4061132,9,9
4062353,9,9
