"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
19101679,"tromantadine","38868","RxNorm","Ingredient",334,568
19012565,"mycophenolic acid","7145","RxNorm","Ingredient",332,13284
793843,"glecaprevir","1940635","RxNorm","Ingredient",327,538
793844,"pibrentasvir","1940636","RxNorm","Ingredient",327,538
1558471,"cabergoline","47579","RxNorm","Ingredient",326,2658
1544838,"insulin glulisine, human","400008","RxNorm","Ingredient",319,9199
19067412,"dipropizine, (S)-isomer","52014","RxNorm","Ingredient",319,365
1389464,"levamisole","6371","RxNorm","Ingredient",317,384
1340128,"captopril","1998","RxNorm","Ingredient",313,2215
1309204,"adenosine","296","RxNorm","Ingredient",305,316
713823,"ropinirole","72302","RxNorm","Ingredient",302,6960
947705,"podofilox","8463","RxNorm","Ingredient",293,406
1517070,"desmopressin","3251","RxNorm","Ingredient",288,3868
1750461,"praziquantel","8628","RxNorm","Ingredient",286,317
1337107,"ranolazine","35829","RxNorm","Ingredient",280,3016
45774435,"dulaglutide","1551291","RxNorm","Ingredient",280,4163
19015768,"methoxy polyethylene glycol-epoetin beta","729596","RxNorm","Ingredient",279,2329
1398399,"exemestane","258494","RxNorm","Ingredient",268,2574
19010886,"zuclopenthixol","114176","RxNorm","Ingredient",268,4277
46275719,"sacubitril","1656328","RxNorm","Ingredient",268,4686
1567198,"insulin aspart, human","51428","RxNorm","Ingredient",260,1087
1525215,"pioglitazone","33738","RxNorm","Ingredient",257,3799
1703069,"emtricitabine","276237","RxNorm","Ingredient",253,1541
19062817,"riboflavin","9346","RxNorm","Ingredient",242,327
19056611,"drotaverin","23684","RxNorm","Ingredient",241,263
966468,"halcinonide","5084","RxNorm","Ingredient",240,370
929504,"proparacaine","34905","RxNorm","Ingredient",236,265
991003,"retapamulin","642274","RxNorm","Ingredient",233,271
19091621,"insulin, protamine zinc, human","236646","RxNorm","Ingredient",233,310
906072,"tropicamide","10869","RxNorm","Ingredient",232,291
740560,"carbidopa","2019","RxNorm","Ingredient",231,6769
704599,"triazolam","10767","RxNorm","Ingredient",225,945
905518,"methylene blue","6878","RxNorm","Ingredient",225,274
19007721,"thyrotropin","10579","RxNorm","Ingredient",221,480
40798880,"Hexaminolevulinic Acid","OMOP2721213","RxNorm Extension","Ingredient",221,397
1133201,"buprenorphine","1819","RxNorm","Ingredient",220,1162
1118117,"naratriptan","141366","RxNorm","Ingredient",218,2782
722424,"interferon beta-1a","75917","RxNorm","Ingredient",216,5772
751889,"glatiramer","214582","RxNorm","Ingredient",216,5318
700299,"thioridazine","10502","RxNorm","Ingredient",206,701
1314273,"rituximab","121191","RxNorm","Ingredient",206,838
715233,"baclofen","1292","RxNorm","Ingredient",205,4713
1140640,"carbetapentane","20217","RxNorm","Ingredient",205,218
1560278,"glucagon","4832","RxNorm","Ingredient",201,701
751347,"primidone","8691","RxNorm","Ingredient",199,2486
937368,"infliximab","191831","RxNorm","Ingredient",195,2250
43049220,"Follitropin Delta","OMOP4860402","RxNorm Extension","Ingredient",193,510
19037038,"calcium gluconate","1908","RxNorm","Ingredient",192,269
739471,"relugolix","2472778","RxNorm","Ingredient",191,787
19000815,"strontium","10122","RxNorm","Ingredient",191,1442
45892552,"ombitasvir","1597371","RxNorm","Ingredient",189,537
45892554,"paritaprevir","1597373","RxNorm","Ingredient",189,537
45892558,"dasabuvir","1597381","RxNorm","Ingredient",189,539
1549080,"estrogens, conjugated (USP)","4099","RxNorm","Ingredient",186,990
529076,"L1 protein, human papillomavirus type 11 vaccine","798262","RxNorm","Ingredient",182,400
529116,"L1 protein, human papillomavirus type 6 vaccine","798268","RxNorm","Ingredient",182,400
35200577,"fremanezumab","2056691","RxNorm","Ingredient",182,1429
19050633,"sertindole","41996","RxNorm","Ingredient",180,2916
733008,"perphenazine","8076","RxNorm","Ingredient",178,1824
19011093,"tenofovir","117466","RxNorm","Ingredient",172,1232
43526424,"dimethyl fumarate","1373478","RxNorm","Ingredient",168,3188
19057607,"amisulpride","46303","RxNorm","Ingredient",165,2316
44506754,"lixisenatide","1440051","RxNorm","Ingredient",163,2520
952004,"sevelamer","214824","RxNorm","Ingredient",160,1421
782211,"entacapone","60307","RxNorm","Ingredient",155,4157
1310317,"cyclophosphamide","3002","RxNorm","Ingredient",154,408
1547504,"rosiglitazone","84108","RxNorm","Ingredient",154,1590
19026972,"lenalidomide","342369","RxNorm","Ingredient",153,1569
751412,"fluvoxamine","42355","RxNorm","Ingredient",152,745
35606465,"elbasvir","1734628","RxNorm","Ingredient",150,402
35606467,"grazoprevir","1734630","RxNorm","Ingredient",150,402
1103640,"methadone","6813","RxNorm","Ingredient",147,3341
734275,"phenobarbital","8134","RxNorm","Ingredient",146,1681
793351,"netarsudil","1992864","RxNorm","Ingredient",141,484
1112807,"aspirin","1191","RxNorm","Ingredient",138,270
42900584,"teriflunomide","1310520","RxNorm","Ingredient",138,3089
36878940,"Corifollitropin alfa","OMOP998379","RxNorm Extension","Ingredient",137,231
19050375,"ciprofibrate","21149","RxNorm","Ingredient",136,729
35603277,"cariprazine","1667655","RxNorm","Ingredient",136,933
19042155,"tolfenamic acid","38377","RxNorm","Ingredient",135,564
40161488,"Timothy grass pollen extract","851994","RxNorm","Ingredient",135,409
40173184,"levosimendan","73107","RxNorm","Ingredient",133,203
19001311,"epoetin beta","105695","RxNorm","Ingredient",131,702
951511,"mupirocin","42372","RxNorm","Ingredient",129,182
739363,"sibutramine","36514","RxNorm","Ingredient",128,132
1379969,"interferon alfa-2a","5879","RxNorm","Ingredient",128,1591
1704183,"lamivudine","68244","RxNorm","Ingredient",127,306
986117,"ketotifen","6146","RxNorm","Ingredient",126,327
1703063,"valganciclovir","275891","RxNorm","Ingredient",126,550
1710281,"tenofovir disoproxil","300195","RxNorm","Ingredient",126,313
