"concept_id","relationship","target_concept_id","target_concept_name"
27438,"morphology",4168004,"Burn injury"
27587,"finding_site",4294042,"Salivary gland structure"
27674,"finding_site",4271189,"Upper gastrointestinal tract structure"
27835,"finding_site",4209428,"Pituitary structure"
27835,"morphology",4313421,"Neoplasm of uncertain behavior"
28060,"causative_agent",4240344,"Streptococcus"
28060,"finding_site",4207370,"Pharyngeal structure"
28060,"morphology",4053015,"Inflammation"
28060,"morphology",4253008,"Inflammatory morphology"
28060,"pathology",40480911,"Infectious process"
28083,"finding_site",4207370,"Pharyngeal structure"
28083,"morphology",37153816,"Malignant neoplasm"
28083,"morphology",4312326,"Neoplasm, malignant (primary)"
28083,"pathology",37157802,"Primary malignant neoplastic proliferation"
28109,"finding_site",4140098,"Esophageal structure"
28109,"morphology",37156895,"Carcinoma in situ"
28109,"morphology",4266173,"Carcinoma in situ - category"
28115,"finding_site",4164136,"Pineal structure"
28115,"morphology",4305589,"Neoplasm, benign"
28179,"finding_site",4262229,"Laryngeal structure"
28179,"morphology",4187628,"Polyp"
28356,"finding_site",4002730,"Major salivary gland structure"
28356,"morphology",37153816,"Malignant neoplasm"
28356,"morphology",4312326,"Neoplasm, malignant (primary)"
28396,"finding_site",4218976,"Erythrocyte"
28403,"finding_site",4200975,"Structure of distal part of pituitary"
28403,"pathology",4204670,"Pathological developmental process"
28457,"finding_site",4088482,"Entire left tonsil (palatine)"
28457,"finding_site",4090917,"Entire right tonsil (palatine)"
28457,"morphology",4210465,"Hypertrophy"
28461,"finding_site",4294042,"Salivary gland structure"
28461,"morphology",4210465,"Hypertrophy"
28462,"finding_site",4294042,"Salivary gland structure"
28462,"morphology",4043006,"Fistula"
28779,"finding_site",4237655,"Structure of esophageal vein"
28779,"morphology",4237283,"Bleeding varices"
29056,"finding_site",4294042,"Salivary gland structure"
29056,"morphology",4053015,"Inflammation"
29056,"morphology",4253008,"Inflammatory morphology"
29735,"causative_agent",4139129,"Candida"
29735,"finding_site",4047651,"Mouth region structure"
29735,"pathology",40480911,"Infectious process"
29979,"finding_site",4260843,"Neck structure"
29979,"morphology",4060415,"Crushing injury (morphology)"
30133,"clinical_course",4312510,"Sudden onset AND/OR short duration"
30133,"finding_site",4262229,"Laryngeal structure"
30133,"morphology",4163835,"Acute inflammation"
30284,"causative_agent",4209294,"Motion"
30284,"finding_site",4271189,"Upper gastrointestinal tract structure"
30333,"causative_agent",4285582,"Neisseria gonorrhoeae"
30333,"finding_site",4207370,"Pharyngeal structure"
30333,"pathology",40480911,"Infectious process"
30356,"finding_site",4207370,"Pharyngeal structure"
30356,"morphology",4305589,"Neoplasm, benign"
30437,"finding_site",4140098,"Esophageal structure"
30437,"morphology",4053015,"Inflammation"
30437,"morphology",4253008,"Inflammatory morphology"
30441,"finding_site",4294042,"Salivary gland structure"
30441,"morphology",4209441,"Calculus"
30679,"finding_site",4002730,"Major salivary gland structure"
30679,"morphology",4305589,"Neoplasm, benign"
30753,"finding_site",4140098,"Esophageal structure"
30753,"morphology",4053015,"Inflammation"
30753,"morphology",4253008,"Inflammatory morphology"
30969,"finding_site",4122979,"Testicular endocrine structure"
30978,"finding_site",4218976,"Erythrocyte"
30978,"occurrence",4116830,"Congenital"
31057,"finding_site",4207370,"Pharyngeal structure"
31317,"finding_site",4132867,"Upper digestive tract structure"
31509,"finding_site",4327174,"Palatine tonsillar structure"
31509,"morphology",37153816,"Malignant neoplasm"
31509,"morphology",4312326,"Neoplasm, malignant (primary)"
31509,"pathology",37157802,"Primary malignant neoplastic proliferation"
31597,"clinical_course",4312510,"Sudden onset AND/OR short duration"
31597,"finding_site",4262229,"Laryngeal structure"
31597,"finding_site",4195956,"Tracheal structure"
31597,"morphology",4163835,"Acute inflammation"
31602,"finding_site",4262229,"Laryngeal structure"
31609,"finding_site",4294042,"Salivary gland structure"
31609,"morphology",4195605,"Abscess morphology"
31610,"finding_site",4140098,"Esophageal structure"
31668,"finding_site",4260843,"Neck structure"
31668,"morphology",4263843,"Deformity"
31668,"occurrence",35624340,"Period of life between birth and death"
31821,"finding_site",4034504,"Structure of endocrine system"
31884,"finding_site",4140098,"Esophageal structure"
31884,"morphology",4053916,"Single diverticulum"
31884,"occurrence",35624340,"Period of life between birth and death"
31967,"finding_site",4271189,"Upper gastrointestinal tract structure"
72245,"causative_agent",4037323,"Chlamydia"
72245,"finding_site",4241088,"Lower genitourinary tract structure"
72245,"pathology",40480911,"Infectious process"
72390,"finding_site",4298444,"Breast structure"
72390,"morphology",4027360,"Nonsuppurative inflammation"
72390,"occurrence",37160319,"Maternal perinatal period"
72401,"finding_site",4214466,"Joint structure"
72401,"morphology",4140663,"Degeneration"
72401,"morphology",4030637,"Degenerative abnormality"
72404,"finding_site",37219112,"Structure of joint region"
72410,"finding_site",4154333,"Bone structure"
72410,"pathology",40480911,"Infectious process"
72413,"finding_site",4325458,"Muscle structure"
72413,"morphology",4053606,"Nontraumatic rupture"
72413,"morphology",4053605,"Rupture"
72418,"finding_site",4128342,"Musculoskeletal structure of spine"
72418,"morphology",4136505,"Lateral abnormal curvature"
72421,"finding_site",4154333,"Bone structure"
72421,"morphology",4013214,"Unicameral bone cyst"
72434,"finding_site",4066714,"Scrotal structure"
72434,"morphology",4298084,"Hydrocele"
72434,"occurrence",4116830,"Congenital"
72434,"pathology",4204670,"Pathological developmental process"
72487,"finding_site",4211098,"Foot structure"
72487,"morphology",4060415,"Crushing injury (morphology)"
