"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
141095,"Acne","11381005","SNOMED","Disorder",28404,196388
4291025,"Arthritis","3723001","SNOMED","Disorder",28319,133991
435570,"Pulp and periapical tissue disease","266417001","SNOMED","Disorder",28279,50591
321318,"Angina pectoris","194828000","SNOMED","Disorder",28051,452919
373852,"Neuralgia","16269008","SNOMED","Clinical Finding",28012,83731
433316,"Dizziness and giddiness","271789005","SNOMED","Clinical Finding",27782,118393
4227449,"Spondylosis","8847002","SNOMED","Disorder",27725,203980
4079749,"Osteoarthritis of hip","239872002","SNOMED","Disorder",27301,303188
140641,"Verruca vulgaris","57019003","SNOMED","Disorder",27271,106894
197607,"Excessive and frequent menstruation","266601003","SNOMED","Clinical Finding",27170,102115
4240538,"Acute pericoronitis","91863007","SNOMED","Disorder",27135,59978
4004352,"Irritant contact dermatitis","110979008","SNOMED","Disorder",26990,93360
201078,"Atrophic vaginitis","52441000","SNOMED","Disorder",26989,180127
133834,"Atopic dermatitis","24079001","SNOMED","Disorder",26565,172405
37399393,"Symptomatic periapical periodontitis","718053009","SNOMED","Disorder",26526,51852
377910,"Deviated nasal septum","126660000","SNOMED","Disorder",26510,113155
432347,"Chronic disease of tonsils AND/OR adenoids","16358007","SNOMED","Disorder",26471,59500
376382,"Tension-type headache","398057008","SNOMED","Disorder",26459,116030
4227594,"Acne vulgaris","88616000","SNOMED","Disorder",26225,225094
440638,"Lyme disease","23502006","SNOMED","Disorder",25905,104102
138525,"Pain in limb","90834002","SNOMED","Clinical Finding",25849,79357
314378,"Hypertensive heart disease with congestive heart failure","5148006","SNOMED","Disorder",25785,970719
136057,"Benign neoplasm of skin of trunk","92380000","SNOMED","Disorder",25670,72613
317009,"Asthma","195967001","SNOMED","Disorder",25319,504328
81151,"Sprain of ankle","44465007","SNOMED","Disorder",24913,55444
192854,"Intramural leiomyoma of uterus","93616000","SNOMED","Disorder",24883,152573
433736,"Obesity","414916001","SNOMED","Disorder",24695,166738
380731,"Otitis externa","3135009","SNOMED","Disorder",24625,90982
437903,"Acute tracheitis","26650005","SNOMED","Disorder",24512,69694
380094,"Carpal tunnel syndrome","57406009","SNOMED","Disorder",24406,188995
201340,"Gastritis","4556007","SNOMED","Disorder",24187,149936
4054063,"Open wound of finger","125653000","SNOMED","Disorder",24116,60132
439297,"Nuclear senile cataract","193589009","SNOMED","Disorder",23563,141793
320136,"Disorder of respiratory system","50043002","SNOMED","Disorder",23418,58291
75865,"Disorder of urinary system","128606002","SNOMED","Disorder",23283,81726
4001643,"Adult osteochondrosis of spine","203417003","SNOMED","Disorder",23245,91454
444429,"Herpes simplex","88594005","SNOMED","Disorder",23156,149413
4114585,"Primary gonarthrosis, bilateral","201841000","SNOMED","Disorder",23051,228421
440129,"Hypertrophy of nasal turbinates","17467004","SNOMED","Disorder",23045,96901
197223,"Enterobiasis","266162007","SNOMED","Disorder",22721,63721
375527,"Headache disorder","230461009","SNOMED","Disorder",22518,103162
196151,"Functional disorder of intestine","81120009","SNOMED","Disorder",22413,63164
201603,"Disorder of teeth AND/OR supporting structures","105995000","SNOMED","Disorder",22307,49220
75346,"Derangement of meniscus","111224002","SNOMED","Disorder",21927,118903
72418,"Scoliosis deformity of spine","298382003","SNOMED","Disorder",21891,69478
4182562,"Lower abdominal pain","54586004","SNOMED","Clinical Finding",21715,50656
4181705,"Varicose veins of lower limb without ulcer and without inflammation","297713002","SNOMED","Disorder",21646,111465
140673,"Hypothyroidism","40930008","SNOMED","Disorder",21617,1016877
198678,"Intestinal infectious disease","266071000","SNOMED","Disorder",21336,42215
81379,"Lateral epicondylitis","202855006","SNOMED","Disorder",21254,94311
4027384,"Inflammatory disorder","128139000","SNOMED","Disorder",21219,45314
437589,"Pulpitis","32620007","SNOMED","Disorder",21090,53115
4333680,"Somatoform autonomic dysfunction","231517009","SNOMED","Disorder",21000,74960
316139,"Heart failure","84114007","SNOMED","Disorder",20849,435017
4244662,"Disorder of musculoskeletal system","928000","SNOMED","Disorder",20270,62187
4103476,"Pain of ear","301354004","SNOMED","Clinical Finding",20264,41565
30437,"Gastro-esophageal reflux disease with esophagitis","266433003","SNOMED","Disorder",20188,146114
4024688,"Embedded teeth","196419009","SNOMED","Disorder",20188,69324
137053,"Seborrheic dermatitis","50563003","SNOMED","Disorder",19832,101126
201826,"Type 2 diabetes mellitus","44054006","SNOMED","Disorder",19768,2141612
4053838,"Foreign body","125670008","SNOMED","Disorder",19745,44251
4338031,"Mixed anxiety and depressive disorder","231504006","SNOMED","Disorder",19576,371013
138790,"Chronic periodontitis","5689008","SNOMED","Disorder",19390,37754
81303,"Labyrinthine disorder","20425006","SNOMED","Disorder",19344,117751
133141,"Tinea pedis","6020002","SNOMED","Disorder",19327,70154
198803,"Benign prostatic hyperplasia","266569009","SNOMED","Disorder",19013,533430
201257,"Disorder of endocrine ovary","37102008","SNOMED","Disorder",18825,62667
374905,"Non-organic sleep disorder","270487001","SNOMED","Disorder",18734,275177
375827,"Acute non-suppurative serous otitis media","194240006","SNOMED","Disorder",18707,50051
196168,"Irregular periods","80182007","SNOMED","Clinical Finding",18465,48600
40481327,"Loss of all teeth","441935006","SNOMED","Disorder",18417,42350
4001450,"Lumbago with sciatica","202794004","SNOMED","Disorder",18412,71808
37018293,"Inflammatory disorder of jaw region","714750008","SNOMED","Disorder",18366,44528
73649,"Contusion of finger","69787006","SNOMED","Disorder",18166,31472
378425,"Blepharitis","41446000","SNOMED","Disorder",18107,70689
318736,"Migraine","37796009","SNOMED","Disorder",17781,306508
4281109,"Autoimmune thyroiditis","66944004","SNOMED","Disorder",17724,184537
76786,"Derangement of knee","63643000","SNOMED","Disorder",17648,55717
4225273,"Chronic gastritis","8493009","SNOMED","Disorder",17523,73847
75576,"Irritable bowel syndrome","10743008","SNOMED","Disorder",17495,76645
42537727,"Degeneration of posterior pole of eye","737273002","SNOMED","Disorder",17471,219606
78619,"Contusion of knee","22878006","SNOMED","Disorder",17174,36818
4307111,"Moderate major depression","832007","SNOMED","Disorder",17173,299152
4141640,"Perimenopausal disorder","266607004","SNOMED","Disorder",17075,146358
4068155,"Atrial arrhythmia","17366009","SNOMED","Disorder",16946,1105550
4266367,"Influenza","6142004","SNOMED","Disorder",16905,34065
4306292,"Upper abdominal pain","83132003","SNOMED","Clinical Finding",16890,42857
4212887,"Disorder of rotator cuff","414033006","SNOMED","Disorder",16866,101507
81878,"Benign paroxysmal positional vertigo","111541001","SNOMED","Disorder",16596,88399
197343,"First degree perineal laceration","57759005","SNOMED","Disorder",16553,34366
4145627,"Biliary calculus","266474003","SNOMED","Disorder",16548,50010
37109944,"Bodily distress disorder","723916001","SNOMED","Disorder",16511,77712
434701,"Anemia in mother complicating pregnancy, childbirth AND/OR puerperium","45828008","SNOMED","Disorder",16391,55290
4110815,"Sensorineural hearing loss of bilateral ears","194424005","SNOMED","Disorder",16270,94616
140480,"Impetigo","48277006","SNOMED","Disorder",16204,39358
4091901,"Aberrant premature complexes","251167004","SNOMED","Disorder",16166,98597
442781,"Disorder of uterine cervix","63339007","SNOMED","Disorder",16100,49329
139900,"Urticaria","126485001","SNOMED","Disorder",15865,72938
73819,"Pain of breast","53430007","SNOMED","Clinical Finding",15752,36398
440674,"Gout","90560007","SNOMED","Disorder",15729,356085
195306,"Gastroduodenitis","196731005","SNOMED","Disorder",15683,99744
440432,"Accretion on teeth","6288001","SNOMED","Disorder",15622,35507
81175,"Contusion of chest","10050004","SNOMED","Disorder",15601,32049
435613,"Cellulitis","128045006","SNOMED","Disorder",15531,47216
200779,"Polyp of corpus uteri","11314008","SNOMED","Disorder",15528,64345
4049623,"Moderate major depression, single episode","15639000","SNOMED","Disorder",15457,151685
73560,"Calcaneal spur","55260003","SNOMED","Clinical Finding",15429,55648
441788,"Human papilloma virus infection","240532009","SNOMED","Disorder",15369,65327
259848,"Chronic rhinitis","86094006","SNOMED","Disorder",15366,58741
81723,"Contusion of hand","5662003","SNOMED","Disorder",15176,27768
4115380,"Primary coxarthrosis, bilateral","201839001","SNOMED","Disorder",15127,135272
4057513,"Chronic superficial gastritis","196735001","SNOMED","Disorder",15033,79639
4102631,"Acute tubulointerstitial nephritis","28637003","SNOMED","Disorder",15023,44856
4110051,"Mixed asthma","195977004","SNOMED","Disorder",14860,476853
31597,"Acute laryngotracheitis","64375000","SNOMED","Disorder",14805,39062
27674,"Nausea and vomiting","16932000","SNOMED","Disorder",14678,37210
3663197,"Glaucoma suspect","833278008","SNOMED","Disorder",14564,118179
77644,"Adhesive capsulitis of shoulder","399114005","SNOMED","Disorder",14353,56960
201909,"Female infertility","6738008","SNOMED","Disorder",14300,193312
312998,"Pain in thoracic spine","267981009","SNOMED","Clinical Finding",14241,45565
4067313,"Cervical disc disorder with radiculopathy","202757008","SNOMED","Disorder",14204,82869
80180,"Osteoarthritis","396275006","SNOMED","Disorder",14149,64484
75911,"Acquired hallux valgus","65358001","SNOMED","Disorder",14146,65842
