concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4262915,device,Using device,45768015,Electrocautery system
4265898,device,Using device,4097825,Surgical suture
4266224,device,Has dir device,45763425,Gastrostomy tube
4268189,device,Using device,4149433,Orthopedic internal fixation system
4269993,device,Has dir device,4106026,Pack
4270077,device,Using acc device,4290594,Endoscope
4270363,device,Has dir device,4030875,Cardiac pacemaker
4272324,device,Using device,4129272,Cardiopulmonary bypass circuit
4272547,device,Using device,45768386,Aspiration needle
4274801,device,Using device,4046730,Laser device
4275113,device,Has dir device,40355609,Intrauterine contraceptive device
4275736,device,Has dir device,45768178,Implantable infusion pump
4275747,device,Has dir device,4030875,Cardiac pacemaker
4276044,device,Using device,4093739,Neurostimulator
4276189,device,Using device,4097825,Surgical suture
4277906,device,Using acc device,4005994,Rhinoscope
4277906,device,Using device,4005994,Rhinoscope
4279443,device,Using device,4149926,Thoracoscope
4279443,device,Using acc device,4149926,Thoracoscope
4279768,device,Has dir device,4262295,Pulmonary artery catheter
4279768,device,Has dir device,4197924,"Swan-Ganz catheter, device"
4280418,device,Using device,4097825,Surgical suture
4282460,device,Using device,45768386,Aspiration needle
4284555,device,Using device,4097825,Surgical suture
4284837,device,Using device,4260387,Laryngoscope
4285891,device,Using device,4211223,Trephine
4287484,device,Using acc device,4084319,Bronchoscope
4287484,device,Using device,4084319,Bronchoscope
4287484,device,Using device,45762712,Flexible endoscope washer
4287941,device,Using device,4097825,Surgical suture
4287998,device,Has dir device,4205702,Prosthesis
4288878,device,Using device,4049103,Arthroscope
4288992,device,Has dir device,4208975,Intraocular lens implant
4290938,device,Using device,4097825,Surgical suture
4293738,device,Has dir device,4161452,Brachytherapy device
4293870,device,Has dir device,4208975,Intraocular lens implant
4293870,device,Using device,4190637,Phacoemulsification machine
4294382,device,Using device,4290594,Endoscope
4294805,device,Using device,4313302,Laparoscope
4295265,device,Using device,4264723,Otoscope
4297365,device,Has dir device,4281994,Hip prosthesis
4297516,device,Using device,4290594,Endoscope
4297706,device,Has dir device,4169265,Device
4297967,device,Has dir device,4216073,Tissue expander
4298398,device,Using device,4147878,Urethroscope
4298560,device,Using device,4290594,Endoscope
4298560,device,Using acc device,4290594,Endoscope
4300759,device,Using acc device,4220610,Flexible fiberoptic laryngoscope
4300759,device,Using device,4220610,Flexible fiberoptic laryngoscope
4301065,device,Using device,4320473,Lithotripter
4301429,device,Using device,4151640,Ureteroscope
4301600,device,Using device,4260387,Laryngoscope
4302979,device,Using device,4097825,Surgical suture
4303291,device,Using device,4320473,Lithotripter
4303291,device,Using acc device,4146952,Nephroscope
4303291,device,Using device,4146952,Nephroscope
4304943,device,Using device,4290594,Endoscope
4304943,device,Using acc device,4290594,Endoscope
4305063,device,Using device,4048015,Cystoscope
4305074,device,Using device,45767886,Ureterorenoscope
4305581,device,Has dir device,4222679,Wound dressing
4306749,device,Has dir device,45767942,Peripheral artery stent
4308888,device,Using device,4097825,Surgical suture
4309374,device,Has dir device,4230998,Neurostimulator electrode
4310657,device,Has dir device,45768057,Implantable wrist prosthesis
4310657,device,Has dir device,4118297,Wrist joint prosthesis
4311039,device,Has dir device,4030970,Knee joint prosthesis
4311817,device,Using device,606499,Fiberoptic bronchoscope
4311817,device,Using device,45764589,Flexible fiberoptic bronchoscope
4313285,device,Using device,45768386,Aspiration needle
4313889,device,Using device,4290594,Endoscope
4315036,device,Using device,4149433,Orthopedic internal fixation system
4319321,device,Using device,4313302,Laparoscope
4321098,device,Using device,4149433,Orthopedic internal fixation system
