concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4043334,procedure_site,Has proc site,4305329,Eye structure
4043335,procedure_site,Has proc site,4102766,Corneal structure
4044027,procedure_site,Has proc site,4041251,Bone structure of pelvis
4044367,procedure_site,Has proc site,4222767,Bone structure of foot
4044888,procedure_site,Has proc site,4100605,Structure of bone of forearm
4045610,procedure_site,Has indir proc site,4028247,Intracranial structure
4045900,procedure_site,Has proc site,4014426,Skeletal system structure
4045963,procedure_site,Has proc site,4028247,Intracranial structure
4046707,procedure_site,Has indir proc site,4217142,Heart structure
4047008,procedure_site,Has indir proc site,4092904,Intracranial vascular structure
4047008,procedure_site,Has proc site,4014241,Structure of cardiovascular system
4047082,procedure_site,Has indir proc site,4014241,Structure of cardiovascular system
4047234,procedure_site,Has proc site,4051774,Adrenal structure
4048327,procedure_site,Has proc site,4050631,Maxillary sinus structure
4048335,procedure_site,Has proc site,4123604,Tonsil and adenoid structure
4048438,procedure_site,Has indir proc site,4219982,Coronary artery structure
4048702,procedure_site,Has indir proc site,4337115,Ureteric structure
4048938,procedure_site,Has indir proc site,4090907,Brain cerebrospinal fluid pathway
4048938,procedure_site,Has indir proc site,4261981,Brain ventricle structure
4048938,procedure_site,Has indir proc site,4093400,Spinal cerebrospinal fluid pathway
4049551,procedure_site,Has indir proc site,4135703,Common carotid artery structure
4049553,procedure_site,Has indir proc site,4297788,Structure of femoral artery
4049553,procedure_site,Has indir proc site,4136495,Structure of profunda femoris artery
4049682,procedure_site,Has indir proc site,4014548,Thoracic aorta structure
4049832,procedure_site,Has indir proc site,4225995,Structure of peripheral vein
4050137,procedure_site,Has indir proc site,4301737,Abdominal aorta structure
4050139,procedure_site,Has indir proc site,4172495,Superior mesenteric artery structure
4050572,procedure_site,Has indir proc site,4217142,Heart structure
4050864,procedure_site,Has indir proc site,4271678,Kidney structure
4050866,procedure_site,Has indir proc site,4271678,Kidney structure
4051014,procedure_site,Has indir proc site,4318955,External carotid artery structure
4051017,procedure_site,Has indir proc site,4109754,Common femoral artery
4051018,procedure_site,Has indir proc site,4111596,Superficial femoral artery
4051157,procedure_site,Has indir proc site,4111596,Superficial femoral artery
4051163,procedure_site,Has indir proc site,4104340,Venous structure
4051171,procedure_site,Has indir proc site,4088153,Vein of spermatic cord
4051932,procedure_site,Has proc site,4217142,Heart structure
4052115,procedure_site,Has indir proc site,4286359,Carotid artery structure
4052116,procedure_site,Has indir proc site,4063510,Structure of brachial artery
4052413,procedure_site,Has indir proc site,4149003,Structure of vena cava
4052415,procedure_site,Has indir proc site,4167648,Superior vena cava structure
4052820,procedure_site,Has proc site,4014241,Structure of cardiovascular system
