concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4281511,morphology,Has dir morph,40599742,Lesion
4282602,morphology,Has dir morph,4209441,Calculus
4284252,morphology,Has dir morph,4245118,Thrombus
4284254,morphology,Has dir morph,4029830,Varix
4284555,morphology,Has dir morph,4148390,Laceration
4287321,morphology,Has dir morph,4245118,Thrombus
4287324,morphology,Has dir morph,4245118,Thrombus
4287467,morphology,Has dir morph,4043006,Fistula
4287790,morphology,Has dir morph,4105753,Prolapse
4289590,morphology,Has dir morph,40599742,Lesion
4291347,morphology,Has dir morph,4078373,Foreign body
4291474,morphology,Has dir morph,4245118,Thrombus
4293475,morphology,Has dir morph,4260668,Inversion
4294825,morphology,Has dir morph,4150051,Diverticulum
4295161,morphology,Has indir morph,4028351,Pseudocyst
4296296,morphology,Has dir morph,40599742,Lesion
4298166,morphology,Has dir morph,4209441,Calculus
4298560,morphology,Has dir morph,4078373,Foreign body
4300656,morphology,Has dir morph,4078373,Foreign body
4300860,morphology,Has dir morph,40599742,Lesion
4301065,morphology,Has dir morph,4209441,Calculus
4301620,morphology,Has dir morph,40599742,Lesion
4302672,morphology,Has dir morph,4279699,Cyst
4303291,morphology,Has dir morph,4209441,Calculus
4304998,morphology,Has dir morph,40599742,Lesion
4307589,morphology,Has dir morph,4263843,Deformity
4308888,morphology,Has dir morph,4029919,Wound
4311023,morphology,Has dir morph,4076390,Stoma
4311694,morphology,Has dir morph,4227147,Dislocation
4312734,morphology,Has dir morph,4217808,Fracture
4314436,morphology,Has dir morph,4085566,Intestinal stoma
4314457,morphology,Has proc morph,4140663,Degeneration
4314569,morphology,Has dir morph,40599742,Lesion
4319321,morphology,Has dir morph,4175338,Adhesion
4321098,morphology,Has dir morph,4217808,Fracture
4321098,morphology,Has dir morph,4178756,"Fracture, open"
4321430,morphology,Has dir morph,4078373,Foreign body
4321596,morphology,Has dir morph,40599742,Lesion
4321679,morphology,Has dir morph,4337954,Eschar
4322623,morphology,Has dir morph,4146758,Verruca
4323042,morphology,Has dir morph,4279699,Cyst
4323685,morphology,Has dir morph,4133291,Ectropion
4323816,morphology,Has dir morph,4076390,Stoma
4325283,morphology,Has dir morph,4076390,Stoma
4327488,morphology,Has dir morph,4311963,Aneurysm
4327660,morphology,Has dir morph,4148390,Laceration
4329458,morphology,Has dir morph,4078373,Foreign body
4329726,morphology,Has dir morph,4168004,Burn injury
4334716,morphology,Has dir morph,4046284,Epiretinal membrane
4336916,morphology,Has dir morph,4235576,Stoma site
4336916,morphology,Has dir morph,4090784,Tracheostomy stoma
4337610,morphology,Has dir morph,1243745,Pulmonary bulla
4338234,morphology,Has dir morph,40599742,Lesion
4338539,morphology,Has proc morph,4140663,Degeneration
4338818,morphology,Has dir morph,4217808,Fracture
4339288,morphology,Has dir morph,4245118,Thrombus
4339493,morphology,Has indir morph,4195605,Abscess morphology
4339601,morphology,Has dir morph,4078373,Foreign body
4340646,morphology,Has dir morph,4078373,Foreign body
4343570,morphology,Has dir morph,40599742,Lesion
4343792,morphology,Has dir morph,4217808,Fracture
4343793,morphology,Has dir morph,4217808,Fracture
4343794,morphology,Has dir morph,4217808,Fracture
4346400,morphology,Has dir morph,4217808,Fracture
35621840,morphology,Has dir morph,4046789,Penetrating wound
