"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata","tau2","I2","Q","pval_Q","lower_predict","upper_predict"
22492,"Both",16,16,44634,36941,0.000358471120670341,0.000433123088167619,0.276255198114253,0.509967481219442,-0.723262698362459,1.27577309459096,1.99903579295342,1.21104728698185,0.605726024351214,2.42128532099476,1.81555929664354,1.21104728698185,0.541711399820372,0.588017335271956,FALSE,"Random-Effects",2,0,0,0.131314009774186,0.717073500242246,-6.2034960270513,6.7560064232798
22839,"Both",9,5,9973,8311,0.000902436578762659,0.000601612321020335,-0.58499143244832,0.804411511901087,-2.16160902452386,0.991626159627223,3.15323518415108,0.666653297503978,0.223506853532963,1.98842501716568,1.76491816363271,1.50003008121929,-0.727229065961269,0.467085643414046,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
23220,"Both",3673,7352,1713399,1672761,0.00214369215810211,0.00439512877213182,0.840773610597667,0.124113123256451,0.597516359006243,1.08403086218909,0.486514503182849,1.79101027069161,1.51310946160765,2.11995091638294,0.606841454775286,1.79101027069161,6.77425229933505,1.25051281387504e-11,TRUE,"Random-Effects",2,0,0,0.006865125368407,0.933965999177837,-0.736233143944883,2.41778036514022
24134,"Both",1914,2256,1731382,1424878,0.00110547527928557,0.00158329344687756,0.394703617128819,0.287688653329336,-0.169155782157509,0.958563016415147,1.12771879857266,1.31467265011923,0.889362954973669,1.94337325082614,1.05401029585247,1.31467265011923,1.37198187193353,0.170069081234197,FALSE,"Random-Effects",2,0.115249319561131,0.694198776954789,3.27009810504308,0.0705534043122141,-5.25940159911449,6.04880883337213
24660,"Both",1777,1145,975117,926494,0.00182234542111357,0.00123584178634724,-0.377248872725595,0.185099970855051,-0.740038149140909,-0.0144595963102813,0.725578552830628,0.769904350100476,0.598723520072382,0.990027430744621,0.391303910672239,1.29886264426158,-2.03808175108257,0.0415417578580939,TRUE,"Random-Effects",2,0,0,0.00144666639987036,0.969659722004731,-2.72916699906984,1.97466925361865
25297,"Both",543,485,670243,594700,0.000810153929246557,0.000815537245670086,-0.0417367200839259,0.184739696525861,-0.403819871789472,0.320346431621621,0.724166303411093,0.971484767303161,0.755854330732433,1.24863034413991,0.492776013407475,1.02935221802396,-0.22592177463106,0.821262261911309,FALSE,"Random-Effects",2,0.0495926867082483,0.720179030500185,3.57371358475212,0.058700898450907,-3.71823357943323,3.63476013926538
27674,"Both",220,231,363676,304826,0.000604934062187222,0.000757809373216195,0.310298721455623,0.141021967089478,0.0339007449312534,0.586696697979993,0.552795953048739,1.23996441783184,1.02377646385247,1.50180416504536,0.478027701192887,1.23996441783184,2.20035734758075,0.0277815514710832,TRUE,"Random-Effects",2,0,0,0.395562306006393,0.529390012332331,-1.48155526468137,2.10215270759262
30437,"Both",810,1218,1120614,893910,0.000722818026546161,0.00136255327717555,0.827482580900561,0.354669863189546,0.132342422647303,1.52262273915382,1.39028031650652,1.77458610936326,1.09607188746376,2.87312893940925,1.77705705194549,1.77458610936326,2.3331065500153,0.0196425537785265,TRUE,"Random-Effects",2,0.236202298716205,0.938452456705384,16.247602202629,5.55798903144129e-05,-6.817314134378,8.47227929617913
30753,"Both",12,11,26805,21143,0.000447677672076105,0.000520266754954358,0.192806514019976,0.602687857096066,-0.988439979807935,1.37405300784789,2.36249298765582,1.1429850345405,0.504022491881956,2.59197716416496,2.087954672283,1.1429850345405,0.319911064657876,0.749035749931659,FALSE,"Random-Effects",2,0,0,0.000820785386206746,0.977144250790377,-7.46506879024903,7.85068181828898
31317,"Both",373,410,438480,336813,0.000850665936872833,0.00121729268169578,0.538055869309875,0.127077066212066,0.288989396273214,0.787122342346537,0.498132946073324,1.45201450902751,1.22178412159645,1.72562901838299,0.503844896786543,1.45201450902751,4.23409105473026,2.29477958100683e-05,TRUE,"Random-Effects",2,0,0,0.0789696509778103,0.778698593636828,-1.07661135125307,2.15272308987282
