"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata","tau2","I2","Q","pval_Q","lower_predict","upper_predict"
702006,"F",10,28,24548,16711,0.000407365162131335,0.00167554305547244,2.03446378402141,0.531280065255175,0.993173990417174,3.07575357762564,2.08257958720847,4.09670436000757,1.9905594925647,8.43129114000068,6.44073164743599,4.09670436000757,3.82936217086227,0.000128475814219939,TRUE,"Random-Effects",2,0,0,0.00666254186101691,0.93494540160701,-4.7160894973591,8.78501706540191
702006,"M",28,63,55043,47220,0.000508693203495449,0.00133418043202033,1.53187559545686,0.614352908996485,0.327766020026332,2.73598517088738,2.40821915086105,2.89161523245543,1.25506842456672,6.66213768819404,5.40706926362732,2.89161523245543,2.4934782158989,0.0126498346222459,TRUE,"Random-Effects",2,0.485819950526986,0.622287095297969,2.64751346208008,0.103712007727227,-10.2736140158657,13.3373652067794
729855,"F",377,741,589730,429192,0.000639275600698625,0.00172650002795951,1.38430853895325,0.254413399996491,0.885667437775744,1.88294964013076,0.997282202355012,2.61046811798076,1.84761919266122,3.68828372321608,1.84066453055486,2.61046811798076,5.44117777983526,5.29294598123985e-08,TRUE,"Random-Effects",5,0.259811357996659,0.838812223655679,24.815777540447,5.4787662714968e-05,-0.197382151736293,2.96599922964279
729855,"M",5,8,9690,8679,0.000515995872033024,0.000921765180320313,0.837039746764324,0.822186296762836,-0.774415783473195,2.44849527700184,3.22291106047504,1.78638091946077,0.584625319229026,5.45846490812581,4.87383958889678,1.78638091946077,1.01806579610968,0.308646688744098,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
937368,"F",5,6,14433,10709,0.000346428323979769,0.000560276403025493,0.69358184270803,0.873401431386229,-1.01825350685471,2.40541719227077,3.42367069912548,1.61729386497339,0.493713668938093,5.29788744011567,4.80417377117758,1.61729386497339,0.794115761417066,0.427128042738807,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
937368,"M",27,36,41599,40318,0.000649054063799611,0.000892901433602857,0.4448817981423,0.368734553116386,-0.277824645821287,1.16758824210589,1.44541288792717,1.36120258685438,0.824833797976281,2.24635858400208,1.4215247860258,1.36120258685438,1.20650965411934,0.227621038927235,FALSE,"Random-Effects",2,0,0,0.458233780814427,0.498450576864501,-4.24033492705638,5.13009852334098
1304850,"F",2303,1049,770254,571078,0.00298992280468521,0.00183687692399287,-0.624981708153755,0.0800865830187732,-0.781948526515427,-0.468014889792082,0.313933636723345,0.648427998654146,0.581580770450007,0.722958685709785,0.141377915259778,1.54219127193083,-7.80382536744328,6.00582860580825e-15,TRUE,"Random-Effects",6,0.00910008125910566,0.204261972375454,6.28347499606888,0.27960453836053,-0.945160466918716,-0.304802949388793
1304850,"M",1581,727,521636,446556,0.00303084909783834,0.00162801529931296,-0.71595287143614,0.166306835138811,-1.04190827869105,-0.38999746418123,0.651910814509821,0.608802896789861,0.485684624853088,0.76313094583103,0.277446320977942,1.64256774281606,-4.30501170224637,1.66976908792531e-05,TRUE,"Random-Effects",6,0.0938094795935974,0.550048956625158,11.1123200481939,0.0491979298469422,-1.61185667221387,0.179950929341593
1307046,"F",6,5,10478,7331,0.00057262836419164,0.00068203519301596,0.252247050632709,0.873318997371887,-1.45942673123082,1.96392083249624,3.42334756372706,1.1910607920702,0.363637595526458,3.90120776250619,3.53757016697973,1.1910607920702,0.288837242052223,0.77270593110995,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
1314273,"F",15,14,26294,18766,0.000570472351106716,0.000746030054353618,0.38808719496782,0.536338221955307,-0.663116403596831,1.43929079353247,2.1024071971293,1.30865716292462,0.631512675377591,2.71187521145152,2.08036253607393,1.30865716292462,0.723586682957231,0.469319519500911,FALSE,"Random-Effects",2,0,0,0.00775946206444043,0.929806885856588,-6.42673606103221,7.20291045096785
1344143,"F",1178,2331,789076,583384,0.00149288534944669,0.003995652949001,1.33106624107939,0.12492211924483,1.0862233864871,1.57590909567167,0.489685709184571,2.51588545744153,2.12317514428048,2.98123291995811,0.858057775677638,2.51588545744153,10.6551685892446,1.64945531457949e-26,TRUE,"Random-Effects",6,0.0600168046560147,0.676449001118762,15.4535143371178,0.00859052319635424,0.624168666167775,2.037963815991
1344143,"M",1587,2691,670227,575190,0.00236785447318595,0.00467845407604444,0.955905175985281,0.14171387397268,0.67815108688918,1.23365926508138,0.555508178192201,1.93979631950369,1.60008781781016,2.35162702901504,0.751539211204878,1.93979631950369,6.74531821894562,1.526919964155e-11,TRUE,"Random-Effects",7,0.102233326935805,0.806109092180658,30.9452365120209,2.59669004869727e-05,0.100128936771258,1.8116814151993
1360067,"F",1087,843,580270,446939,0.00187326589346339,0.00188616343617362,0.0527587477387974,0.0738529446719217,-0.0919903639703983,0.197507859447993,0.289498223418391,1.03724647025896,0.938227463076183,1.14671578311849,0.208488320042308,1.03724647025896,0.714375682285502,0.474994904850742,FALSE,"Random-Effects",7,0,0,5.87868832792294,0.436915935607976,-0.127952897820881,0.233470393298476
