"concept_id","year","sex","age_group","patient_count_d1","denominator_d1","prevalence_d1","patient_count_d2","denominator_d2","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig"
702006,2012,"M","50-59",5,11368,0.000439831104855735,7,9717,0.00072038695070495,0.711822412896681,0.844520534488907,-0.943407418906093,2.36705224469945,3.31045966360555,1.63787177112278,0.520003262943974,5.15885981840443,4.63885655546046,1.63787177112278,0.84287164589487,0.399300232785326,FALSE
702006,2013,"M","50-59",6,11321,0.000529988516915467,11,9847,0.00111709149994922,1.07571435376579,0.731925522801458,-0.358833310290719,2.5102620178223,2.86909532811301,2.10776547848752,0.779794935304841,5.69723540274979,4.91744046744495,2.10776547848752,1.46970466291225,0.141641759299795,FALSE
702006,2014,"F","60-69",5,14087,0.000354937176119827,14,9343,0.00149844803596275,2.07783345881178,0.75138038635185,0.605154962872366,3.5505119547512,2.94535699187883,4.22172749652145,1.52114213350395,11.7168426686269,10.195700535123,4.22172749652145,2.76535493413691,0.00568608894514,TRUE
702006,2014,"F","70-79",5,10461,0.00047796577765032,14,7368,0.00190010857763301,1.99110263057677,0.751306566492441,0.518568818903138,3.4636364422504,2.94506762334726,3.97540716612378,1.43253344230663,11.0321069440594,9.59957350175277,3.97540716612378,2.65018664733952,0.00804473140792927,TRUE
702006,2014,"M","50-59",5,11275,0.000443458980044346,16,9897,0.00161665151055876,1.86613615485666,0.738894075048441,0.417930379371681,3.31434193034164,2.89641155096996,3.64554915631,1.33600960456174,9.94755472243197,8.61154511787023,3.64554915631,2.52558007686598,0.0115507454226147,TRUE
702006,2015,"M","50-59",6,11177,0.000536816677104769,6,9891,0.000606612071580224,0.176344715918813,0.832702234183155,-1.45572167292621,1.80841110476383,3.26413277769004,1.13001718734203,0.364572671872935,3.50256325337911,3.13799058150618,1.13001718734203,0.211774039602282,0.8322833225555,FALSE
702006,2015,"M","60-69",6,9902,0.000605938194304181,23,7868,0.00292323335027961,2.27032244701949,0.660995008223597,0.974796036940478,3.56584885709849,2.59105282015801,4.82430943907812,1.96536332141875,11.8420656935723,9.87670237215354,4.82430943907812,3.43470437563652,0.000593200571572083,TRUE
729855,2012,"F","50-59",5,15628,0.000319938571794216,14,11252,0.00124422324920014,1.95937853003921,0.751415231010854,0.486631739823092,3.43212532025533,2.94549358043224,3.88894418769995,1.40116974293742,10.7937578378901,9.39258809495269,3.88894418769995,2.60758426123905,0.0091183625288378,TRUE
729855,2012,"F","60-69",9,12910,0.00069713400464756,16,8775,0.00182336182336182,1.38709296867295,0.600791450441459,0.209563363588112,2.56462257375779,2.35505921016968,2.61551123773346,1.15633816138227,5.91600213775912,4.75966397637685,2.61551123773346,2.30877614462343,0.0209560064442038,TRUE
729855,2012,"F","70-79",6,10408,0.000576479631053036,12,7236,0.00165837479270315,1.52442855409655,0.721009449748516,0.11127600007642,2.93758110811669,2.82630510804027,2.8767274737424,1.08018318848166,7.66125694829292,6.58107375981126,2.8767274737424,2.11429760681814,0.0344898566461211,TRUE
729855,2013,"F","50-59",5,15472,0.000323164426059979,17,11275,0.00150776053215078,2.22206701280972,0.73374937167709,0.783944670643728,3.66018935497571,2.87624468433198,4.66561419068738,1.72183234075256,12.642320196419,10.9204878556664,4.66561419068738,3.02837330917349,0.00245874147833303,TRUE
729855,2013,"F","60-69",10,13491,0.000741234897338967,11,9031,0.00121802679658952,0.716543162724998,0.630053578909551,-0.518339160268287,1.95142548571828,2.46976464598657,1.64323995127892,0.698175114359469,3.86756485864788,3.16938974428841,1.64323995127892,1.13727337913886,0.255424019745269,FALSE
729855,2013,"F","70-79",6,10478,0.00057262836419164,12,7331,0.0016368844632383,1.5152814564665,0.721012961085525,0.10212202035229,2.92844089258071,2.82631887222842,2.85854590096848,1.07335106450861,7.61287237525088,6.53952131074228,2.85854590096848,2.10160085636347,0.0355882547905653,TRUE
729855,2014,"F","50-59",5,15238,0.000328127050794067,17,11278,0.00150735946089732,2.19969705864811,0.733747997428567,0.761577409959732,3.63781670733649,2.87623929737676,4.59382869303068,1.69534326150551,12.4477812488379,10.7524379873323,4.59382869303068,2.99789173715906,0.00271854227245472,TRUE
729855,2014,"F","60-69",12,14087,0.000851849222687584,11,9343,0.00117735202825645,0.466875749557688,0.601907179602938,-0.712840644500151,1.64659214361553,2.35943278811568,1.38211316850405,0.610117643066204,3.13093193134398,2.52081428827778,1.38211316850405,0.7756607087918,0.437949344921958,FALSE
729855,2014,"F","70-79",6,10461,0.000573558933180384,9,7368,0.0012214983713355,1.09063830412768,0.76005039175301,-0.399033090143782,2.58030969839913,2.97934278854292,2.12968241042345,0.758366378338744,5.98068070897666,5.22231433063791,2.12968241042345,1.4349552555485,0.151299848419243,FALSE
729855,2015,"F","50-59",7,14939,0.000468572193587255,17,11143,0.00152562146639146,1.70305380026584,0.647646341517645,0.433690296172129,2.97241730435955,2.53872700818742,3.25589415520314,1.35068410160268,7.84850190900103,6.49781780739835,3.25589415520314,2.62960460222015,0.00854842288162039,TRUE
729855,2015,"F","60-69",11,14576,0.000754665203073546,15,9740,0.00154004106776181,1.02906016380357,0.572378202601444,-0.092780498831031,2.15090082643817,2.2436813252692,2.04069441851783,0.937713755579347,4.4410500379158,3.50333628233645,2.04069441851783,1.7978674923792,0.0721980086852023,FALSE
729855,2015,"F","70-79",7,10410,0.000672430355427474,10,7343,0.00136184120931499,1.01810173638166,0.710627845760431,-0.374703247720068,2.41090672048339,2.78560996820346,2.02525242699558,0.77126404000808,5.31808457322671,4.54682053321863,2.02525242699558,1.43267920396816,0.151949535224555,FALSE
729855,2016,"F","50-59",5,14664,0.000340971085651937,16,11003,0.00145414886849041,2.09245366371345,0.738937247954089,0.644163270888294,3.54074405653861,2.89658078565032,4.26472780150867,1.56283261728555,11.637780668125,10.0749480508394,4.26472780150867,2.8317068458883,0.00463002761081022,TRUE
729855,2016,"F","60-69",13,14762,0.000880639479745292,14,9975,0.00140350877192982,0.672414652756917,0.555360122408989,-0.416071185614457,1.76090049112829,2.17697167674275,1.59373819163292,0.749462819890052,3.3890959712211,2.63963315133105,1.59373819163292,1.21077230003512,0.225982684131546,FALSE
729855,2016,"F","70-79",8,10539,0.000759085302210836,12,7336,0.00163576881134133,1.10763493906963,0.658131693327601,-0.182279476936828,2.39754935507609,2.57982883201291,2.15492093784078,0.881309415298827,5.26907368483073,4.38776426953191,2.15492093784078,1.68299893516643,0.0923752975601406,FALSE
729855,2017,"F","60-69",17,14889,0.00114178252401101,16,10167,0.00157371889446248,0.462889976562796,0.502169812197267,-0.52134476946709,1.44712472259268,1.96846949205977,1.37830003645012,0.696722099598052,2.72664092552017,2.02991882592212,1.37830003645012,0.921779775127062,0.356643459022047,FALSE
729855,2017,"F","70-79",8,10561,0.000757504024240129,16,7393,0.00216420938725822,1.5145146286266,0.624322089047978,0.290865819339756,2.73816343791345,2.44729761857369,2.85702691735426,1.22337425353688,6.67220417863785,5.44882992510097,2.85702691735426,2.42585462727431,0.0152723865218967,TRUE
729855,2018,"F","60-69",14,14989,0.000934018280072053,15,10252,0.00146312914553258,0.647534426052202,0.535803382276439,-0.402620906004365,1.69768975810877,2.10031066411313,1.56648876874199,0.756482751937857,3.24381098750599,2.48732823556814,1.56648876874199,1.20852993368772,0.226843488982233,FALSE
729855,2018,"F","70-79",6,10600,0.000566037735849057,14,7483,0.00187090739008419,1.72476800589628,0.703625995258263,0.345686396603931,3.10384961518862,2.75816321858469,3.30526972248207,1.27075543096718,8.59709718497264,7.32634175400546,3.30526972248207,2.45125680051546,0.0142358349788643,TRUE
729855,2018,"F","80+",7,7789,0.000898703299524971,6,5437,0.00110354975170131,0.2962348685901,0.802236387417981,-1.27611955783666,1.86858929501686,3.14470885285353,1.2279355737145,0.412904613158537,3.6517532745865,3.23884866142796,1.2279355737145,0.369261321520879,0.711932952420967,FALSE
729855,2019,"F","50-59",5,13865,0.000360620266858997,23,10842,0.00212137981922155,2.55645056551074,0.711636150126163,1.16166934116672,3.95123178985476,2.78956244868804,5.88258623870137,2.23716139656862,15.4681825409807,13.2310211444121,5.88258623870137,3.59235624139881,0.000327701443166628,TRUE
729855,2019,"F","60-69",13,14845,0.000875715729201751,19,10320,0.00184108527131783,1.0720219178659,0.518950047979389,0.0548985140509597,2.08914532168083,2.03424680762987,2.10237775790102,1.03878602763655,4.2549592691127,3.21617324147614,2.10237775790102,2.06575164997089,0.0388519355874462,TRUE
729855,2019,"F","70-79",5,10817,0.000462235370250532,15,7616,0.00196953781512605,2.09115755279602,0.744691897902411,0.631588253328517,3.55072685226352,2.91913859893501,4.26089810924369,1.54926963564329,11.7185880880045,10.1693184523612,4.26089810924369,2.80808420057507,0.00498371943206455,TRUE
729855,2019,"F","80+",7,8262,0.000847252481239409,7,5780,0.00121107266435986,0.515421567468078,0.770756013636736,-0.995232460127587,2.02607559506374,3.02130805519133,1.42941176470588,0.501655036526741,4.07295421017998,3.57129917365324,1.42941176470588,0.668722083705987,0.503672777582286,FALSE
729855,2020,"F","50-59",5,13699,0.000364990145266078,25,10807,0.0023133154436939,2.66403258841883,0.706529564199325,1.27926008857537,4.04880508826228,2.76954499968691,6.33802165263254,2.42714464587585,16.5505251355727,14.1233804896968,6.33802165263254,3.77058897944043,0.00016286271992727,TRUE
729855,2020,"F","60-69",14,15006,0.000932960149273624,24,10485,0.00228898426323319,1.29482018058172,0.484825441595192,0.344579776266419,2.24506058489703,1.90048080863061,2.45346413243409,1.26978107077896,4.74057015627728,3.47078908549832,2.45346413243409,2.67069355172751,0.00756947175715839,TRUE
729855,2020,"F","70-79",5,10987,0.000455083280240284,14,7703,0.00181747371154096,1.99773200896591,0.751321081495273,0.525169748409491,3.47029426952232,2.94512452111283,3.99371673374011,1.43910289580516,11.0831361647925,9.64403326898735,3.99371673374011,2.65895907644444,0.007838248317529,TRUE
729855,2020,"F","80+",7,8558,0.000817948118719327,9,6049,0.0014878492312779,0.863147097658885,0.726645961771865,-0.561052816925439,2.28734701224321,2.84839982916865,1.81900196018232,0.677807348484518,4.88157606810412,4.20376871961961,1.81900196018232,1.18785095227692,0.234892136234985,FALSE
729855,2021,"F","50-59",7,13532,0.000517292344073308,22,10644,0.00206689214580985,1.99841136335146,0.625776918756796,0.771911140231696,3.22491158647123,2.45300044623954,3.99559778815698,1.70753025380698,9.34964499113913,7.64211473733214,3.99559778815698,3.19348845163804,0.00140564959779743,TRUE
729855,2021,"F","60-69",14,14915,0.000938652363392558,26,10612,0.0024500565397663,1.38415219307737,0.47789767085664,0.447489969902775,2.32081441625196,1.87332444634918,2.61018523504388,1.36366565849165,4.99614177332662,3.63247611483497,2.61018523504388,2.89633592604929,0.00377548011791529,TRUE
729855,2021,"F","70-79",5,11141,0.0004487927475092,14,7779,0.00179971718729914,2.00364894784938,0.751324580944647,0.531079828498228,3.47621806720054,2.94513823870231,4.01012983673995,1.44501035232257,11.1287377849333,9.68372743261071,4.01012983673995,2.6668220349322,0.00765722071950359,TRUE
729855,2021,"F","80+",7,9026,0.000775537336583204,7,6328,0.00110619469026549,0.5123371787397,0.770790075492113,-0.998383608865751,2.02305796634515,3.0214415752109,1.4263590391909,0.500560512418264,4.06444387483283,3.56388336241456,1.4263590391909,0.664690938596474,0.506248190730368,FALSE
729855,2022,"F","30-39",6,14451,0.000415196180195142,13,12414,0.00104720476880941,1.33467849614691,0.711820513858789,-0.0604640744731137,2.72982106676693,2.79028514124004,2.52219268567747,0.958955600624865,6.63373355298172,5.67477795235685,2.52219268567747,1.87502111861261,0.0607898182466207,FALSE
729855,2022,"F","50-59",6,13434,0.000446627958910228,25,10611,0.00235604561304307,2.39922199820525,0.655590195524306,1.11428882636004,3.68415517005046,2.56986634369042,5.27518612760343,2.16488265339618,12.854086403808,10.6892037504118,5.27518612760343,3.65963678923916,0.000252572990230959,TRUE
729855,2022,"F","60-69",10,14797,0.000675812664729337,22,10732,0.00204994409243384,1.60088927206611,0.549918154862117,0.523069494091642,2.67870905004058,2.15563955594894,3.03330227357435,1.4370093950931,6.40282708957183,4.96581769447873,3.03330227357435,2.91114097236435,0.00360111501444171,TRUE
729855,2022,"F","70-79",8,11418,0.00070064809949203,16,7823,0.00204525118241084,1.54551609736574,0.624346328481117,0.321819779662931,2.76921241506854,2.44739263540561,2.91908475009587,1.24990615553236,6.81735643954246,5.56745028401011,2.91908475009587,2.47541472875415,0.0133081536938222,TRUE
729855,2022,"F","80+",6,8954,0.000670091579182488,9,6438,0.00139794967381174,1.06088224214702,0.760001516203526,-0.428693357807726,2.55045784210177,2.97915119990949,2.08620689655172,0.742934352887824,5.85820160058895,5.11526724770112,2.08620689655172,1.39589490221875,0.162746146004901,FALSE
729855,2023,"F","30-39",6,14062,0.000426681837576447,15,12197,0.00122981060916619,1.5272035513942,0.696659244203433,0.161776523258577,2.89263057952982,2.73085405627124,2.88226613101583,1.11866380404777,7.42623299327398,6.30756918922621,2.88226613101583,2.19218156380085,0.028366399130433,TRUE
729855,2023,"F","50-59",7,13362,0.000523873671606047,26,10591,0.0024549145500897,2.22838194531809,0.614034843292931,1.02489576721125,3.43186812342493,2.40697235621368,4.68608117404265,2.03481236642028,10.7918337494423,8.75702138302202,4.68608117404265,3.62908061270234,0.000284432417103631,TRUE
729855,2023,"F","60-69",10,14637,0.000683200109312017,29,10727,0.00270345856250583,1.98442613265451,0.528745697161393,0.948103609237655,3.02074865607136,2.07264504683371,3.95705229793979,1.92933492217985,8.11588631326858,6.18655139108873,3.95705229793979,3.75308232919536,0.000174673455837437,TRUE
729855,2023,"F","70-79",11,11861,0.000927409156057668,15,8057,0.00186173513714782,1.00536996485071,0.572310652879931,-0.116338302762562,2.12707823246397,2.24341653522654,2.00745822379184,0.922526140806798,4.36831905570194,3.44579291489514,2.00745822379184,1.75668574364565,0.078971388848448,FALSE
729855,2023,"F","80+",6,8824,0.000679963735267452,8,6451,0.00124011781119206,0.866947473359745,0.778785871755331,-0.659444786949333,2.39333973366882,3.05278452061816,1.82379992765979,0.633121903501022,5.25372153093814,4.62059962743712,1.82379992765979,1.11320390469553,0.265620866065075,FALSE
729855,2024,"F","30-39",5,13588,0.000367971739770386,13,11928,0.00108987256874581,1.56649258384949,0.75898052086858,0.0789180979796227,3.05406706971936,2.97514897173973,2.96183769282361,1.0562256615558,8.30550027132367,7.24927460976788,2.96183769282361,2.0639430667559,0.0390231147682876,TRUE
729855,2024,"F","50-59",8,13247,0.000603910319317581,28,10539,0.00265679855773793,2.13728261442099,0.578058056763505,1.0043096421913,3.27025558665067,2.26594594445936,4.3993263117943,2.00598336502175,9.64817173218968,7.64218836716793,4.3993263117943,3.69734940879025,0.000217862380284206,TRUE
729855,2024,"F","60-69",9,14433,0.000623570983163583,25,10709,0.00233448501260622,1.90447862520665,0.560517094592796,0.80588530708574,3.00307194332756,2.19718663624182,3.74373579854951,1.74821825357056,8.01705261955465,6.26883436598408,3.74373579854951,3.39771729279767,0.000679506004849895,TRUE
729855,2024,"F","70-79",12,12344,0.000972132209980557,17,8330,0.00204081632653061,1.06992190684701,0.543564537577984,0.00455498992098913,2.13528882377302,2.13073383385204,2.09931972789115,1.00316226787438,4.3932506844096,3.39008841653523,2.09931972789115,1.96834383570048,0.0490284894288866,TRUE
729855,2024,"F","80+",6,8774,0.000683838614087075,5,6519,0.000766988801963491,0.165549625282998,0.873276662317613,-1.54604118139887,1.87714043196487,3.42318161336374,1.12159329140461,0.342448469738893,3.67346220668762,3.33101373694872,1.12159329140461,0.189572941115409,0.849643792539548,FALSE
729855,2024,"M","60-69",5,9690,0.000515995872033024,8,8679,0.000921765180320313,0.837039746764324,0.822186296762836,-0.774415783473195,2.44849527700184,3.22291106047504,1.78638091946077,0.584625319229026,5.45846490812581,4.87383958889678,1.78638091946077,1.01806579610968,0.308646688744098,FALSE
937368,2022,"M","20-29",7,9551,0.000732907548947754,10,9314,0.00107365256602963,0.550824083454705,0.710657396828367,-0.842038819675882,1.94368698658529,2.78572580626118,1.46492223687843,0.557854650347682,3.8468750932943,3.28902044294662,1.46492223687843,0.775090903032895,0.438285946628157,FALSE
937368,2023,"M","20-29",8,9011,0.000887803795361225,8,9044,0.000884564352056612,-0.00527377339956863,0.721027826259696,-1.41846234471978,1.40791479792064,2.82637714264041,0.996351172047767,0.374110835086169,2.65353356529304,2.27942273020687,1.00366219065586,-0.00731424392720893,0.994164129731305,FALSE
937368,2024,"F","60-69",5,14433,0.000346428323979769,6,10709,0.000560276403025493,0.69358184270803,0.873401431386229,-1.01825350685471,2.40541719227077,3.42367069912548,1.61729386497339,0.493713668938093,5.29788744011567,4.80417377117758,1.61729386497339,0.794115761417066,0.427128042738807,FALSE
937368,2024,"M","20-29",6,8613,0.000696621386276559,8,8924,0.000896458987001345,0.363862816963041,0.778839563514067,-1.16263467725943,1.89036031118551,3.05299498844493,1.28686687584043,0.446696025308096,3.70727801975205,3.26058199444395,1.28686687584043,0.467185841614566,0.640366922433544,FALSE
937368,2024,"M","30-39",6,14424,0.000415973377703827,10,13036,0.000767106474378644,0.882935638859984,0.74480048744067,-0.576846492191605,2.34271776991157,2.91956426210318,1.84412396440626,0.670427627844282,5.07257316801293,4.40214554016865,1.84412396440626,1.18546597880727,0.235833258316017,FALSE
1304850,2012,"F","40-49",18,13701,0.0013137727173199,5,10804,0.00046279155868197,-1.5052812559644,0.72908219331119,-2.9342560966238,-0.0763064153050006,2.8579496813188,0.352261508083427,0.130828059549552,0.948482844616458,0.817654785066906,2.83880008758484,-2.06462490755403,0.0389585046700867,TRUE
1304850,2012,"F","50-59",20,15628,0.00127975428717686,24,11252,0.00213295414148596,0.736986108702771,0.436433267358462,-0.118407376974954,1.5923795943805,1.71078697135545,1.66669036615713,0.921204027060321,3.01546312764772,2.0942591005874,1.66669036615713,1.68865703836791,0.0912851731618431,FALSE
1304850,2012,"F","60-69",31,12910,0.0024012393493416,24,8775,0.00273504273504274,0.187784160449549,0.391747658463986,-0.580027141167762,0.955595462066859,1.53562260323462,1.1390129583678,0.668951192413689,1.93937993390624,1.27042874149255,1.1390129583678,0.479349796718215,0.631689801988101,FALSE
1304850,2012,"M","60-69",24,8889,0.00269996625042187,17,7002,0.00242787774921451,-0.153245594216883,0.456755703229917,-1.04847032228079,0.74197913384702,1.79044945612781,0.899225221365324,0.483480523222908,1.67246861021268,1.18898808698977,1.11206845208553,-0.33550887954593,0.73724124759591,FALSE
1304850,2012,"M","70-79",9,6032,0.0014920424403183,13,4308,0.00301764159702878,1.01613289542324,0.624932261426513,-0.208711829749898,2.24097762059637,2.44968945034627,2.02249045703085,0.86530951405072,4.72717285822086,3.86186334417014,2.02249045703085,1.62598886014261,0.103952025169065,FALSE
1304850,2012,"M","80+",6,1982,0.00302724520686176,5,1408,0.00355113636363636,0.230275222715394,0.872146917463964,-1.4791013247416,1.93965177017239,3.41875309491399,1.17305871212121,0.358712189348477,3.83613042139102,3.47741823204255,1.17305871212121,0.264032605177336,0.791754794653984,FALSE
1304850,2013,"F","40-49",17,13649,0.00124551249175764,9,10794,0.000833796553640912,-0.578972176902166,0.594433655415896,-1.74404073271581,0.586096378911481,2.3301371116273,0.669440538861458,0.298532367956304,1.50117938010901,1.20264701215271,1.493784648448,-0.97398956406176,0.330061720913566,FALSE
