"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata","tau2","I2","Q","pval_Q","lower_predict","upper_predict"
702006,"Both",38,91,79591,63931,0.00047744091668656,0.00142340961348954,1.81942305092241,0.401857562835756,1.03179670084928,2.60704940099553,1.57525270014625,3.52940025823083,2.04456892796729,6.09256357778277,4.04799464981547,3.52940025823083,4.5275321884785,5.96765131018841e-06,TRUE,"Random-Effects",2,0,0,0.382900531084485,0.53605499458375,-3.2866614172489,6.92550751909371
729855,"Both",382,749,599420,437871,0.000637282706616396,0.00171054945406295,1.33648643961687,0.243043612160045,0.86012971311066,1.81284316612308,0.952713453012418,2.52535540550316,1.81520150856796,3.51333992066549,1.69813841209754,2.52535540550316,5.49895727659277,3.82043677728501e-08,TRUE,"Random-Effects",2,0,0,0.404342467188861,0.524855104294396,-1.7516754563081,4.42464833554184
937368,"Both",32,42,56032,51027,0.000571102227298686,0.000823093656299606,0.482503875826261,0.339701414856834,-0.183298662790433,1.14830641444296,1.33160507723339,1.39716642175812,0.880687037826961,2.21653541637787,1.33584837855091,1.39716642175812,1.42037640917572,0.155498126988265,FALSE,"Random-Effects",2,0,0,0.0688162442712668,0.793068187889356,-3.83381185051289,4.79881960216541
1304850,"Both",3884,1776,1291890,1017634,0.00300644791739235,0.00174522470750781,-0.642106602111287,0.0721559535353873,-0.783529672310792,-0.500683531911783,0.282846140399009,0.640776612736275,0.580943726416395,0.706771841676587,0.125828115260192,1.56060627077157,-8.89887210479978,5.64170584085552e-19,TRUE,"Random-Effects",2,0,0,0.242891384445646,0.622125559737178,-1.55893492066583,0.274721716443252
1307046,"Both",6,5,10478,7331,0.00057262836419164,0.00068203519301596,0.252247050632709,0.873318997371887,-1.45942673123082,1.96392083249624,3.42334756372706,1.1910607920702,0.363637595526458,3.90120776250619,3.53757016697973,1.1910607920702,0.288837242052223,0.77270593110995,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
1314273,"Both",15,14,26294,18766,0.000570472351106716,0.000746030054353618,0.38808719496782,0.536338221955307,-0.663116403596831,1.43929079353247,2.1024071971293,1.30865716292462,0.631512675377591,2.71187521145152,2.08036253607393,1.30865716292462,0.723586682957231,0.469319519500911,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
1344143,"Both",2765,5022,1459303,1158574,0.00189474016019977,0.00433463896134386,1.14945113397607,0.187512782248288,0.781932834128524,1.51696943382362,0.735036599695091,2.2182948445368,1.71943292098819,2.86189240489269,1.1424594839045,2.2182948445368,6.12998815437589,8.78856161945063e-10,TRUE,"Random-Effects",2,0.0525491012372392,0.746433984715531,3.94374616361001,0.0470459008625938,-2.61360557134613,4.91250783929827
1360067,"Both",1635,1289,830132,660454,0.0019695662858437,0.00195168777840697,0.0519297200450562,0.066696113455222,-0.0787922602359761,0.182651700326089,0.261443960562065,1.0366506000268,0.946849962353918,1.13496806174475,0.188118099390835,1.0366506000268,0.778601890797138,0.436214264926512,FALSE,"Random-Effects",2,0,0,0.00068326529489032,0.979146195950504,-0.79552475262413,0.899384192714243
1506270,"Both",257,306,518979,410458,0.000495203081434894,0.00074550867567449,0.523357172321357,0.149000576908703,0.231321407904609,0.815392936738106,0.584071528833497,1.43729596815684,1.17390967625094,1.7597773848133,0.585867708562364,1.43729596815684,3.5124506440135,0.000443994461833727,TRUE,"Random-Effects",2,0,0,0.674029212950305,0.411650357139729,-1.36987466368877,2.41658900833148
1549786,"Both",12,14,28649,24709,0.000418862787531851,0.000566595167752641,0.430048980244049,0.574296131309661,-0.695550753583571,1.55564871407167,2.25119946765524,1.34727931692003,0.617473551001978,2.93965879972513,2.32218524872315,1.34727931692003,0.748827924825714,0.45396092636746,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
1780601,"Both",376,368,311284,232661,0.00120790018118503,0.00158170041390693,0.332636784982535,0.263621713671113,-0.184052279355576,0.849325849320646,1.03337812867622,1.25931289357466,0.880227115941778,1.80165883918109,0.921431723239314,1.25931289357466,1.26179585266456,0.207022254927471,FALSE,"Random-Effects",2,0.0855102973600303,0.610626704041959,2.56822953803119,0.109029695062533,-4.66990922330924,5.33518279327431
37499271,"Both",74,211,81658,67619,0.000906218619118764,0.00312042473269347,1.88562240954334,0.633372171800526,0.644235764004391,3.12700905508228,2.48277329107789,3.69512305432627,1.56291114909556,8.73621919871447,7.1733080496189,3.69512305432627,2.97711597303519,0.00290973919972443,TRUE,"Random-Effects",2,0.60872928241192,0.757769296034307,4.12829580903018,0.0421717995564113,-10.8832573306725,14.6545021497592
40173184,"Both",18,21,20390,16683,0.000882785679254536,0.00125876640891926,0.510368907142802,0.464236733073167,-0.399518369981139,1.42025618426674,1.81977455424788,1.4244143816839,0.758111329271717,2.67633031245827,1.91821898318655,1.4244143816839,1.09937208924474,0.271605799828859,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
40798880,"Both",11,7,6145,4522,0.00179007323026851,0.00154798761609907,-0.209624678071199,0.696961119584455,-1.57564337108144,1.15639401493905,2.73203738602049,0.864762172811708,0.335493478727554,2.22899598037585,1.89350250164829,1.15638730675346,-0.300769543925466,0.763590234078651,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
42801287,"Both",13,10,26609,21130,0.000488556503438686,0.000473260766682442,-0.0454417130118534,0.607126433954679,-1.23538765762526,1.14450423160155,2.37989188922681,0.968993092835049,0.424728358115357,2.21070148960248,1.78597313148712,1.03199910029723,-0.0748471989859784,0.940336287748909,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
43009086,"Both",51,44,85335,65089,0.00059764457725435,0.000675997480373028,0.191650594942608,0.299152659175946,-0.394677842921632,0.777979032806847,1.17265687572848,1.14206961650418,0.760659214586943,1.71472715235599,0.954067937769046,1.14206961650418,0.640644798112554,0.521753486829783,FALSE,"Random-Effects",2,0,0,0.0112015358912459,0.915711435035529,-3.60944433991805,3.99274552980326
